Species	Woodiness	Original names
Abacopteris nudata	(fern)	['Abacopteris multilineata']
Abarema cochliacarpos	woody	['Abarema cochliacarpos']
Abarema species	not assigned	['Abarema lusoria']
Abatia parviflora	woody	['Abatia parviflora']
Abelia chinensis	woody	['Abelia chinensis', 'Abelia grandiflora']
Abelia macrotera	woody	['Abelia graebneriana']
Abelia triflora	woody	['Abelia triflora']
Abeliophyllum distichum	woody	['Abeliophyllum distichum']
Abelmoschus crinitus	herbaceous	['Abelmoschus crinitus']
Abelmoschus esculentus	herbaceous	['Abelmoschus esculentus', 'Hibiscus esculentus']
Abelmoschus ficulneus	woody	['Abelmoschus ficulneus']
Abelmoschus manihot	herbaceous	['Abelmoschus manihot', 'Hibiscus manihot']
Abelmoschus moschatus	herbaceous	['Abelmoschus moschatus', 'Hibiscus abelmoschus']
Abies alba	woody	['Abies alba', 'Abies pardei']
Abies amabilis	woody	['Abies amabilis']
Abies balsamea	woody	['Abies balsamea']
Abies borisii-regis	woody	['Abies borisii-regis']
Abies bracteata	woody	['Abies bracteata']
Abies cephalonica	woody	['Abies cephalonica']
Abies chensiensis	woody	['Abies chensiensis']
Abies cilicica	woody	['Abies cilicica']
Abies concolor	woody	['Abies concolor']
Abies delavayi	woody	['Abies delavayi']
Abies densa	woody	['Abies densa']
Abies fabri	woody	['Abies fabri']
Abies fargesii	woody	['Abies fargesii', 'Abies faxoniana']
Abies firma	woody	['Abies firma']
Abies forrestii	woody	['Abies forrestii', 'Abies georgei']
Abies fraseri	woody	['Abies fraseri']
Abies grandis	woody	['Abies grandis']
Abies guatemalensis	woody	['Abies guatemalensis']
Abies holophylla	woody	['Abies holophylla']
Abies homolepis	woody	['Abies homolepis']
Abies kawakamii	woody	['Abies kawakamii']
Abies koreana	woody	['Abies koreana']
Abies lasiocarpa	woody	['Abies arizonica', 'Abies lasiocarpa']
Abies magnifica	woody	['Abies magnifica', 'Abies shastensis']
Abies mariesii	woody	['Abies mariesii']
Abies nebrodensis	woody	['Abies nebrodensis']
Abies nephrolepis	woody	['Abies nephrolepis']
Abies nordmanniana	woody	['Abies bornmuelleriana', 'Abies nordmanniana']
Abies numidica	woody	['Abies numidica']
Abies pindrow	woody	['Abies pindrow']
Abies pinsapo	woody	['Abies marocana', 'Abies pinsapo']
Abies procera	woody	['Abies procera']
Abies recurvata	woody	['Abies ernestii', 'Abies recurvata']
Abies religiosa	woody	['Abies religiosa']
Abies sachalinensis	woody	['Abies sachalinensis']
Abies sibirica	woody	['Abies sibirica']
Abies spectabilis	woody	['Abies spectabilis']
Abies squamata	woody	['Abies squamata']
Abies veitchii	woody	['Abies veitchii']
Abies vejarii	woody	['Abies vejarii']
Abildgaardia macrantha	herbaceous	['Fimbristylis macrantha']
Abildgaardia ovata	herbaceous	['Fimbristylis monostachya', 'Fimbristylis ovata']
Abildgaardia oxystachya	herbaceous	['Fimbristylis oxystachya']
Abildgaardia schoenoides	herbaceous	['Fimbristylis squarrulosa']
Abildgaardia triflora	herbaceous	['Fimbristylis triflora']
Abiu caramuri	woody	['Abiu caramuri']
Abrahamia ditimena	woody	['Protorhus ditimena']
Abrahamia sericea	woody	['Protorhus sericea']
Abrahamia viguieri	woody	['Protorhus viguieri']
Abrodictyum caudatum	(fern)	['Macroglena caudata']
Abrodictyum elongatum	(fern)	['Selenodesmium elongatum']
Abroma augustum	woody	['Abroma augusta']
Abronia ameliae	herbaceous	['Abronia ameliae']
Abronia fragrans	herbaceous	['Abronia fragrans']
Abronia latifolia	herbaceous	['Abronia latifolia']
Abronia maritima	herbaceous	['Abronia maritima']
Abronia pogonantha	herbaceous	['Abronia pogonantha']
Abronia turbinata	herbaceous	['Abronia turbinata']
Abronia umbellata	herbaceous	['Abronia umbellata']
Abronia villosa	herbaceous	['Abronia villosa']
Abrophyllum ornans	woody	['Abrophyllum ornans']
Abrus canescens	woody	['Abrus canescens']
Abrus laevigatus	not assigned	['Abrus laevigatus']
Abrus precatorius	woody	['Abrus precatorius']
Abrus pulchellus	woody	['Abrus pulchellus']
Abrus schimperi	woody	['Abrus schimperi']
Abuta grandifolia	woody	['Abuta grandifolia']
Abuta grisebachii	not assigned	['Abuta grisebachii']
Abuta imene	not assigned	['Abuta imene']
Abuta pahni	not assigned	['Abuta pahni']
Abuta panamensis	woody	['Abuta panamensis']
Abuta racemosa	not assigned	['Abuta racemosa']
Abuta rufescens	herbaceous	['Abuta rufescens']
Abuta solimoesensis	not assigned	['Abuta solimoesensis']
Abuta velutina	woody	['Abuta velutina']
Abutilon abutiloides	conflicting (herbaceous vs. woody)	['Abutilon abutiloides']
Abutilon angulatum	conflicting (herbaceous vs. woody)	['Abutilon angulatum']
Abutilon auritum	woody	['Abutilon auritum']
Abutilon austroafricanum	conflicting (herbaceous vs. woody)	['Abutilon austroafricanum', 'Abutilon austro-africanum']
Abutilon bidentatum	woody	['Abutilon bidentatum']
Abutilon bivalve	not assigned	['Bastardia bivalvis']
Abutilon cryptopetalum	conflicting (herbaceous vs. woody)	['Abutilon cryptopetalum']
Abutilon dugesii	woody	['Abutilon dugesii']
Abutilon englerianum	woody	['Abutilon englerianum']
Abutilon eremitopetalum	woody	['Abutilon eremitopetalum']
Abutilon fraseri	woody	['Abutilon fraseri']
Abutilon fruticosum	conflicting (herbaceous vs. woody)	['Abutilon fruticosum']
Abutilon glabriflorum	woody	['Abutilon glabriflorum']
Abutilon grandiflorum	conflicting (herbaceous vs. woody)	['Abutilon grandiflorum']
Abutilon grantii	conflicting (herbaceous vs. woody)	['Abutilon grantii']
Abutilon greveanum	woody	['Abutilon greveanum']
Abutilon guineense	woody	['Abutilon guineense']
Abutilon hirtum	conflicting (herbaceous vs. woody)	['Abutilon hirtum']
Abutilon incanum	conflicting (herbaceous vs. woody)	['Abutilon incanum']
Abutilon indicum	woody	['Abutilon indicum']
Abutilon lauraster	conflicting (herbaceous vs. woody)	['Abutilon lauraster']
Abutilon lepidum	woody	['Abutilon lepidum']
Abutilon leucopetalum	woody	['Abutilon leucopetalum']
Abutilon longicuspe	woody	['Abutilon longicuspe']
Abutilon mauritianum	conflicting (herbaceous vs. woody)	['Abutilon mauritianum', 'Pavonia patens']
Abutilon menziesii	woody	['Abutilon menziesii']
Abutilon mitchellii	woody	['Abutilon mitchelli']
Abutilon mollissimum	woody	['Abutilon mollissimum']
Abutilon otocarpum	woody	['Abutilon otocarpum']
Abutilon oxycarpum	woody	['Abutilon oxycarpum']
Abutilon pannosum	conflicting (herbaceous vs. woody)	['Abutilon muticum', 'Abutilon pannosum']
Abutilon parvulum	herbaceous	['Abutilon parvulum']
Abutilon pseudocleistogamum	woody	['Abutilon pseudocleistogamum']
Abutilon pycnodon	conflicting (herbaceous vs. woody)	['Abutilon matopense', 'Abutilon pycnodon']
Abutilon ramosum	conflicting (herbaceous vs. woody)	['Abutilon ramosum']
Abutilon reflexum	woody	['Abutilon reflexum']
Abutilon rehmannii	woody	['Abutilon rehmannii']
Abutilon sandwicense	woody	['Abutilon sandwicense']
Abutilon sonneratianum	woody	['Abutilon sonneratianum']
Abutilon species	not assigned	['Abutilon canariense', 'Abutilon molle']
Abutilon theophrasti	herbaceous	['Abutilon theophrasti', 'Abutilon theophrastii']
Abutilon trisulcatum	woody	['Abutilon trisulcatum']
Abutilon viscosum	conflicting (herbaceous vs. woody)	['Bastardia viscosa']
Acacia acanthoclada	woody	['Acacia acanthoclada']
Acacia acinacea	woody	['Acacia acinacea']
Acacia acradenia	woody	['Acacia acradenia']
Acacia acrionastes	woody	['Acacia acrionastes']
Acacia aculeatissima	woody	['Acacia aculeatissima']
Acacia acuminata	woody	['Acacia acuminata']
Acacia adoxa	woody	['Acacia adoxa']
Acacia adsurgens	woody	['Acacia adsurgens']
Acacia adunca	woody	['Acacia accola', 'Acacia adunca']
Acacia aestivalis	woody	['Acacia aestivalis']
Acacia alata	woody	['Acacia alata']
Acacia alcockii	woody	['Acacia alcockii']
Acacia alleniana	woody	['Acacia alleniana']
Acacia amblygona	woody	['Acacia amblygona']
Acacia ammobia	woody	['Acacia ammobia']
Acacia amoena	woody	['Acacia amoena']
Acacia ampliceps	woody	['Acacia ampliceps']
Acacia anceps	woody	['Acacia anceps']
Acacia ancistrocarpa	woody	['Acacia ancistrocarpa']
Acacia aneura	woody	['Acacia aneura']
Acacia anfractuosa	woody	['Acacia anfractuosa']
Acacia anthochaera	woody	['Acacia anthochaera']
Acacia aphylla	woody	['Acacia aphylla']
Acacia aprica	woody	['Acacia aprica']
Acacia argyrophylla	woody	['Acacia argyrophylla']
Acacia ascendens	woody	['Acacia ascendens']
Acacia asepala	woody	['Acacia asepala']
Acacia aspera	woody	['Acacia aspera']
Acacia assimilis	woody	['Acacia assimilis']
Acacia atkinsiana	woody	['Acacia atkinsiana']
Acacia aulacocarpa	woody	['Acacia aulacocarpa']
Acacia aureocrinita	woody	['Acacia aureocrinita']
Acacia auriculiformis	woody	['Acacia auriculaeformis', 'Acacia auriculiformis']
Acacia ausfeldii	woody	['Acacia ausfeldii']
Acacia baeuerlenii	woody	['Acacia baeuerlenii']
Acacia baileyana	woody	['Acacia baileyana']
Acacia bakeri	woody	['Acacia bakeri']
Acacia bancroftiorum	woody	['Acacia bancroftii']
Acacia barringtonensis	woody	['Acacia barringtonensis']
Acacia baueri	woody	['Acacia baueri']
Acacia beadleana	woody	['Acacia beadleana']
Acacia beauverdiana	woody	['Acacia beauverdiana']
Acacia beckleri	woody	['Acacia beckleri']
Acacia betchei	woody	['Acacia betchei']
Acacia bifaria	woody	['Acacia bifaria']
Acacia binervata	woody	['Acacia binervata']
Acacia binervia	woody	['Acacia binervia']
Acacia bivenosa	woody	['Acacia bivenosa']
Acacia blakei	woody	['Acacia blakei']
Acacia blakelyi	woody	['Acacia blakelyi']
Acacia blayana	woody	['Acacia blayana']
Acacia boormanii	woody	['Acacia boormanii']
Acacia botrydion	woody	['Acacia botrydion']
Acacia brachybotrya	woody	['Acacia brachybotrya']
Acacia brachystachya	woody	['Acacia brachystachya']
Acacia brassii	woody	['Acacia brassii']
Acacia browniana	woody	['Acacia browniana']
Acacia brownii	woody	['Acacia brownii']
Acacia brumalis	woody	['Acacia brumalis']
Acacia brunioides	woody	['Acacia brunioides']
Acacia bulgaensis	woody	['Acacia bulgaensis']
Acacia burbidgeae	woody	['Acacia burbidgeae']
Acacia burkittii	woody	['Acacia burkittii']
Acacia burrowii	woody	['Acacia burrowii']
Acacia buxifolia	woody	['Acacia buxifolia']
Acacia caerulescens	woody	['Acacia caerulescens']
Acacia caesariata	woody	['Acacia caesariata']
Acacia caesiella	woody	['Acacia caesiella']
Acacia calamifolia	woody	['Acacia calamifolia']
Acacia calcicola	woody	['Acacia calcicola']
Acacia calyculata	woody	['Acacia australis']
Acacia cambagei	woody	['Acacia cambagei']
Acacia campylophylla	woody	['Acacia campylophylla']
Acacia cana	woody	['Acacia cana']
Acacia cangaiensis	woody	['Acacia cangaiensis']
Acacia cardiophylla	woody	['Acacia cardiophylla']
Acacia carens	woody	['Acacia carens']
Acacia caroleae	woody	['Acacia caroleae']
Acacia catenulata	woody	['Acacia catenulata']
Acacia cedroides	woody	['Acacia cedroides']
Acacia celastrifolia	woody	['Acacia celastrifolia']
Acacia celsa	woody	['Acacia celsa']
Acacia cerastes	woody	['Acacia cerastes']
Acacia chalkeri	woody	['Acacia chalkeri']
Acacia chapmanii	woody	['Acacia chapmanii']
Acacia cheelii	woody	['Acacia cheelii']
Acacia chisholmii	woody	['Acacia chisholmii']
Acacia chrysotricha	woody	['Acacia chrysotricha']
Acacia cincinnata	woody	['Acacia cincinnata']
Acacia citrinoviridis	woody	['Acacia citrinoviridis']
Acacia clandullensis	woody	['Acacia clandullensis']
Acacia clydonophora	woody	['Acacia clydonophora']
Acacia cognata	woody	['Acacia cognata']
Acacia colei	woody	['Acacia colei']
Acacia colletioides	woody	['Acacia colletioides']
Acacia complanata	woody	['Acacia complanata']
Acacia concurrens	woody	['Acacia concurrens']
Acacia conferta	woody	['Acacia conferta', 'Acacia tindaleae']
Acacia confusa	woody	['Acacia confusa']
Acacia congesta	woody	['Acacia congesta']
Acacia constablei	woody	['Acacia constablei']
Acacia continua	woody	['Acacia continua']
Acacia coolgardiensis	woody	['Acacia coolgardiensis']
Acacia coriacea	woody	['Acacia coriacea']
Acacia cornigera	woody	['Acacia cornigera']
Acacia costiniana	woody	['Acacia costiniana']
Acacia coulteri	woody	['Acacia coulteri']
Acacia courtii	woody	['Acacia courtii']
Acacia cowleana	woody	['Acacia cowleana']
Acacia craspedocarpa	woody	['Acacia craspedocarpa']
Acacia crassa	woody	['Acacia crassa']
Acacia crassicarpa	woody	['Acacia crassicarpa']
Acacia crassiuscula	woody	['Acacia crassiuscula']
Acacia cremiflora	woody	['Acacia cremiflora']
Acacia crenulata	woody	['Acacia crenulata']
Acacia cretacea	woody	['Acacia cretacea']
Acacia cultriformis	woody	['Acacia cultriformis']
Acacia cuneifolia	woody	['Acacia cuneifolia']
Acacia cupularis	woody	['Acacia cupularis']
Acacia curranii	woody	['Acacia curranii']
Acacia cuthbertsonii	woody	['Acacia cuthbertsonii']
Acacia cyclops	woody	['Acacia cyclops']
Acacia cyperophylla	woody	['Acacia cyperophylla']
Acacia dallachiana	woody	['Acacia dallachiana']
Acacia dawsonii	woody	['Acacia dawsonii']
Acacia dealbata	woody	['Acacia dealbata']
Acacia deanei	woody	['Acacia deanei']
Acacia decora	woody	['Acacia decora']
Acacia decurrens	woody	['Acacia decurrens']
Acacia deficiens	woody	['Acacia deficiens']
Acacia desmondii	woody	['Acacia desmondii']
Acacia dictyoneura	woody	['Acacia dictyoneura']
Acacia dictyophleba	woody	['Acacia dictyophleba']
Acacia difficilis	woody	['Acacia difficilis']
Acacia difformis	woody	['Acacia difformis']
Acacia dimidiata	woody	['Acacia dimidiata']
Acacia disparrima	woody	['Acacia disparrima']
Acacia disticha	woody	['Acacia disticha']
Acacia dodonaeifolia	woody	['Acacia dodonaeifolia']
Acacia doratoxylon	woody	['Acacia doratoxylon']
Acacia drepanophylla	woody	['Acacia drepanophylla']
Acacia drummondii	woody	['Acacia drummondii']
Acacia dunnii	woody	['Acacia dunnii']
Acacia durabilis	woody	['Acacia durabilis']
Acacia duriuscula	woody	['Acacia duriuscula']
Acacia echinula	woody	['Acacia echinula']
Acacia effusa	woody	['Acacia effusa']
Acacia elachantha	woody	['Acacia elachantha']
Acacia elata	woody	['Acacia elata']
Acacia elongata	woody	['Acacia elongata']
Acacia empelioclada	woody	['Acacia empelioclada']
Acacia enterocarpa	woody	['Acacia enterocarpa']
Acacia eremophila	woody	['Acacia eremophila']
Acacia erinacea	woody	['Acacia erinacea']
Acacia eriopoda	woody	['Acacia eriopoda']
Acacia errabunda	woody	['Acacia errabunda']
Acacia estrophiolata	woody	['Acacia estrophiolata']
Acacia euthycarpa	woody	['Acacia euthycarpa']
Acacia excelsa	woody	['Acacia excelsa']
Acacia extensa	woody	['Acacia extensa']
Acacia falcata	woody	['Acacia falcata']
Acacia falciformis	woody	['Acacia falciformis']
Acacia farinosa	woody	['Acacia farinosa']
Acacia fasciculifera	woody	['Acacia fasciculifera']
Acacia ferruginea	woody	['Acacia ferruginea']
Acacia filicifolia	woody	['Acacia filicifolia']
Acacia filifolia	woody	['Acacia filifolia']
Acacia fimbriata	woody	['Acacia fimbriata', 'Acacia perangusta']
Acacia flabellifolia	woody	['Acacia flabellifolia']
Acacia flavescens	woody	['Acacia flavescens']
Acacia flexifolia	woody	['Acacia flexifolia']
Acacia flocktoniae	woody	['Acacia flocktoniae']
Acacia floribunda	woody	['Acacia floribunda']
Acacia floydii	woody	['Acacia floydii']
Acacia fragilis	woody	['Acacia fragilis']
Acacia frigescens	woody	['Acacia frigescens']
Acacia fulva	woody	['Acacia fulva']
Acacia galeata	woody	['Acacia galeata']
Acacia genistifolia	woody	['Acacia diffusa', 'Acacia genistifolia']
Acacia georgensis	woody	['Acacia georgensis']
Acacia georginae	woody	['Acacia georginae']
Acacia gillii	woody	['Acacia gillii']
Acacia gladiiformis	woody	['Acacia gladiiformis']
Acacia glandulicarpa	woody	['Acacia glandulicarpa']
Acacia glaucissima	woody	['Acacia glaucissima']
Acacia glaucocarpa	woody	['Acacia glaucocarpa']
Acacia gnidium	woody	['Acacia gnidium']
Acacia gonocarpa	woody	['Acacia gonocarpa']
Acacia gonoclada	woody	['Acacia gonoclada']
Acacia gordonii	woody	['Acacia gordonii']
Acacia gracilifolia	woody	['Acacia gracilifolia']
Acacia granitica	woody	['Acacia granitica']
Acacia grasbyi	woody	['Acacia grasbyi']
Acacia grisea	woody	['Acacia grisea']
Acacia gunnii	woody	['Acacia gunnii']
Acacia hakeoides	woody	['Acacia hakeoides']
Acacia hamersleyensis	woody	['Acacia hamersleyensis']
Acacia hamiltoniana	woody	['Acacia hamiltoniana']
Acacia hammondii	woody	['Acacia hammondii']
Acacia harpophylla	woody	['Acacia harpophylla']
Acacia harveyi	woody	['Acacia harveyi']
Acacia havilandiorum	woody	['Acacia havilandii', 'Acacia havilandiorum']
Acacia hemignosta	woody	['Acacia hemignosta']
Acacia hemiteles	woody	['Acacia graffiana', 'Acacia hemiteles']
Acacia hemsleyi	woody	['Acacia hemsleyi']
Acacia heterochroa	woody	['Acacia heterochroa']
Acacia heteroclita	woody	['Acacia heteroclita']
Acacia heterophylla	not assigned	['Acacia heterophylla']
Acacia hilliana	woody	['Acacia hilliana']
Acacia hispidula	woody	['Acacia hispidula']
Acacia holosericea	woody	['Acacia holosericea']
Acacia homalophylla	woody	['Acacia homalophylla', 'Acacia omalophylla']
Acacia howittii	woody	['Acacia howittii']
Acacia hubbardiana	woody	['Acacia hubbardiana']
Acacia huegelii	woody	['Acacia huegelii']
Acacia humifusa	woody	['Acacia humifusa']
Acacia hyaloneura	woody	['Acacia hyaloneura']
Acacia imbricata	woody	['Acacia imbricata']
Acacia implexa	woody	['Acacia implexa']
Acacia inaequilatera	woody	['Acacia inaequilatera']
Acacia incanicarpa	woody	['Acacia incanicarpa']
Acacia inceana	woody	['Acacia inceana']
Acacia ingramii	woody	['Acacia ingramii']
Acacia inophloia	woody	['Acacia inophloia']
Acacia insolita	woody	['Acacia insolita']
Acacia irrorata	woody	['Acacia irrorata']
Acacia iteaphylla	woody	['Acacia iteaphylla']
Acacia ixiophylla	woody	['Acacia ixiophylla']
Acacia jennerae	woody	['Acacia jennerae']
Acacia jonesii	woody	['Acacia jonesii']
Acacia jucunda	woody	['Acacia jucunda']
Acacia julifera	woody	['Acacia julifera']
Acacia juncifolia	woody	['Acacia juncifolia']
Acacia kempeana	woody	['Acacia kempeana']
Acacia kettlewelliae	woody	['Acacia kettlewelliae']
Acacia koa	woody	['Acacia koa', 'Acacia koaia']
Acacia kybeanensis	woody	['Acacia kybeanensis']
Acacia kydrensis	woody	['Acacia kydrensis']
Acacia laccata	woody	['Acacia laccata']
Acacia lachnophylla	woody	['Acacia lachnophylla']
Acacia lamprocarpa	woody	['Acacia lamprocarpa']
Acacia lanigera	woody	['Acacia lanigera']
Acacia lasiocalyx	woody	['Acacia lasiocalyx']
Acacia lasiocarpa	woody	['Acacia lasiocarpa']
Acacia lateriticola	woody	['Acacia lateriticola']
Acacia latescens	woody	['Acacia latescens']
Acacia latipes	woody	['Acacia latipes']
Acacia latisepala	woody	['Acacia latisepala']
Acacia latzii	woody	['Acacia latzii']
Acacia legnota	woody	['Acacia legnota']
Acacia leiocalyx	woody	['Acacia leiocalyx']
Acacia leiophylla	woody	['Acacia leiophylla']
Acacia leprosa	woody	['Acacia leprosa']
Acacia leptocarpa	woody	['Acacia leptocarpa']
Acacia leptoclada	woody	['Acacia leptoclada']
Acacia leptopetala	woody	['Acacia leptopetala']
Acacia leptospermoides	woody	['Acacia leptospermoides']
Acacia leptostachya	woody	['Acacia leptostachya']
Acacia leucoclada	woody	['Acacia leucoclada']
Acacia leucolobia	woody	['Acacia leucolobia']
Acacia ligulata	woody	['Acacia ligulata']
Acacia ligustrina	woody	['Acacia ligustrina']
Acacia linearifolia	woody	['Acacia linearifolia']
Acacia lineata	woody	['Acacia lineata']
Acacia lineolata	woody	['Acacia lineolata']
Acacia linifolia	woody	['Acacia linifolia']
Acacia lirellata	woody	['Acacia lirellata']
Acacia loderi	woody	['Acacia loderi']
Acacia longifolia	woody	['Acacia longifolia', 'Acacia sophorae']
Acacia longispicata	woody	['Acacia longispicata']
Acacia longispinea	woody	['Acacia longispinea']
Acacia longissima	woody	['Acacia longissima']
Acacia lucasii	woody	['Acacia lucasii']
Acacia lunata	woody	['Acacia lunata']
Acacia lysiphloia	woody	['Acacia lysiphloia']
Acacia mabellae	woody	['Acacia mabellae']
Acacia macnuttiana	woody	['Acacia macnuttiana']
Acacia maconochieana	woody	['Acacia maconochieana']
Acacia macradenia	woody	['Acacia macradenia']
Acacia maidenii	woody	['Acacia maidenii']
Acacia maitlandii	woody	['Acacia maitlandii']
Acacia mangium	woody	['Acacia mangium']
Acacia matthewii	woody	['Acacia matthewii']
Acacia mearnsii	woody	['Acacia mearnsii']
Acacia megacephala	woody	['Acacia megacephala']
Acacia meiantha	woody	['Acacia meiantha']
Acacia meisneri	woody	['Acacia meisneri']
Acacia melanoxylon	woody	['Acacia melanoxylon']
Acacia melleodora	woody	['Acacia melleodora']
Acacia melvillei	woody	['Acacia melvillei']
Acacia menzelii	woody	['Acacia menzelii']
Acacia merrallii	woody	['Acacia merrallii']
Acacia merrickiae	woody	['Acacia merrickiae']
Acacia microbotrya	woody	['Acacia microbotrya']
Acacia microcarpa	woody	['Acacia microcarpa']
Acacia mimula	woody	['Acacia mimula']
Acacia minutifolia	woody	['Acacia minutifolia']
Acacia mitchellii	woody	['Acacia mitchellii']
Acacia mollifolia	woody	['Acacia mollifolia']
Acacia mollis	woody	['Acacia mollis']
Acacia montana	woody	['Acacia montana']
Acacia monticola	woody	['Acacia monticola']
Acacia mountfordiae	woody	['Acacia mountfordiae']
Acacia mucronata	woody	['Acacia mucronata']
Acacia muelleriana	woody	['Acacia muelleriana']
Acacia multisiliqua	woody	['Acacia multisiliqua']
Acacia multispicata	woody	['Acacia multispicata']
Acacia murrayana	woody	['Acacia murrayana']
Acacia mutabilis	woody	['Acacia mutabilis']
Acacia myrtifolia	woody	['Acacia myrtifolia']
Acacia nanodealbata	woody	['Acacia nanodealbata']
Acacia nematophylla	woody	['Acacia nematophylla']
Acacia neriifolia	woody	['Acacia neriifolia']
Acacia nervosa	woody	['Acacia nervosa']
Acacia neurocarpa	woody	['Acacia neurocarpa']
Acacia neurophylla	woody	['Acacia neurophylla']
Acacia nigripilosa	woody	['Acacia nigripilosa']
Acacia nodiflora	woody	['Acacia nodiflora']
Acacia notabilis	woody	['Acacia notabilis']
Acacia obliquinervia	woody	['Acacia obliquinervia']
Acacia obtusata	woody	['Acacia obtusata']
Acacia obtusifolia	woody	['Acacia obtusifolia']
Acacia olgana	woody	['Acacia olgana']
Acacia olsenii	woody	['Acacia olsenii']
Acacia oncinocarpa	woody	['Acacia oncinocarpa']
Acacia ophiolithica	woody	['Acacia ophiolithica']
Acacia oraria	woody	['Acacia oraria']
Acacia orites	woody	['Acacia orites']
Acacia oshanesii	woody	['Acacia oshanesii']
Acacia oswaldii	woody	['Acacia oswaldii', 'Acacia sessiliceps']
Acacia oxycedrus	woody	['Acacia oxycedrus']
Acacia pachycarpa	woody	['Acacia pachycarpa']
Acacia papulosa	woody	['Acacia papulosa']
Acacia papyrocarpa	woody	['Acacia papyrocarpa']
Acacia paradoxa	woody	['Acacia barteriana', 'Acacia paradoxa']
Acacia parramattensis	woody	['Acacia parramattensis']
Acacia parvipinnula	woody	['Acacia parvipinnula']
Acacia pedina	woody	['Acacia pedina']
Acacia pellita	woody	['Acacia pellita']
Acacia pendula	woody	['Acacia leucophylla', 'Acacia pendula']
Acacia penninervis	woody	['Acacia penninervis']
Acacia pentadenia	woody	['Acacia pentadenia']
Acacia peuce	woody	['Acacia peuce']
Acacia phaeocalyx	woody	['Acacia phaeocalyx']
Acacia phasmoides	woody	['Acacia phasmoides']
Acacia phlebocarpa	woody	['Acacia phlebocarpa']
Acacia piligera	woody	['Acacia piligera']
Acacia pilligaensis	woody	['Acacia pilligaensis']
Acacia pinguiculosa	woody	['Acacia pinguiculosa']
Acacia pinguifolia	woody	['Acacia pinguifolia']
Acacia platycarpa	woody	['Acacia platycarpa']
Acacia plectocarpa	woody	['Acacia plectocarpa']
Acacia plicata	woody	['Acacia plicata']
Acacia podalyriaefolia	woody	['Acacia podalyriaefolia']
Acacia podalyriifolia	woody	['Acacia podalyriifolia']
Acacia polybotrya	woody	['Acacia polybotrya']
Acacia polystachya	woody	['Acacia polystachya']
Acacia prainii	woody	['Acacia prainii']
Acacia pravifolia	woody	['Acacia pravifolia']
Acacia pravissima	woody	['Acacia pravissima']
Acacia prominens	woody	['Acacia prominens']
Acacia provincialis	woody	['Acacia provincialis']
Acacia pruinocarpa	woody	['Acacia pruinocarpa']
Acacia pruinosa	woody	['Acacia pruinosa']
Acacia ptychoclada	woody	['Acacia ptychoclada']
Acacia pubescens	woody	['Acacia pubescens']
Acacia pubifolia	woody	['Acacia pubifolia']
Acacia pulchella	woody	['Acacia pulchella']
Acacia pusilla	woody	['Acacia pusilla']
Acacia pustula	woody	['Acacia pustula']
Acacia pycnantha	woody	['Acacia pycnantha']
Acacia pycnostachya	woody	['Acacia pycnostachya']
Acacia pyrifolia	woody	['Acacia pyrifolia']
Acacia quadrilateralis	woody	['Acacia quadrilateralis']
Acacia quadrimarginea	woody	['Acacia quadrimarginea']
Acacia quornensis	woody	['Acacia quornensis']
Acacia racospermoides	woody	['Acacia racospermoides']
Acacia ramulosa	woody	['Acacia ramulosa']
Acacia repanda	woody	['Acacia repanda']
Acacia resinimarginea	woody	['Acacia resinimarginea']
Acacia retinodes	woody	['Acacia retinodes']
Acacia retivenea	woody	['Acacia retivenea']
Acacia rhetinocarpa	woody	['Acacia rhetinocarpa']
Acacia rhigiophylla	woody	['Acacia rhigiophylla']
Acacia rhodophloia	woody	['Acacia rhodophloia']
Acacia rhodoxylon	woody	['Acacia rhodoxylon']
Acacia riceana	woody	['Acacia riceana']
Acacia richii	woody	['Acacia richii']
Acacia rigens	woody	['Acacia rigens']
Acacia rossei	woody	['Acacia rossei']
Acacia rostellifera	woody	['Acacia rostellifera']
Acacia rothii	woody	['Acacia rothii']
Acacia rubida	woody	['Acacia rubida']
Acacia rupicola	woody	['Acacia rupicola']
Acacia ruppii	woody	['Acacia ruppii']
Acacia saliciformis	woody	['Acacia saliciformis']
Acacia salicina	woody	['Acacia salicina']
Acacia saligna	woody	['Acacia cyanophylla', 'Acacia saligna']
Acacia schinoides	woody	['Acacia schinoides']
Acacia scirpifolia	woody	['Acacia scirpifolia']
Acacia sclerophylla	woody	['Acacia sclerophylla']
Acacia sclerosperma	woody	['Acacia sclerosperma']
Acacia semirigida	woody	['Acacia semirigida']
Acacia sertiformis	woody	['Acacia sertiformis']
Acacia shirleyi	woody	['Acacia shirleyi']
Acacia sibilans	woody	['Acacia sibilans']
Acacia sibirica	woody	['Acacia clivicola', 'Acacia sibirica']
Acacia siculiformis	woody	['Acacia siculiformis']
Acacia silvestris	woody	['Acacia silvestris']
Acacia simmonsiana	woody	['Acacia simmonsiana']
Acacia simsii	woody	['Acacia simsii']
Acacia species	not assigned	['Acacia capitata', 'Acacia cunninghamii', 'Acacia discolor', 'Acacia glaucescens', 'Acacia mollissima', 'Acacia nana', 'Acacia nova-anglica', 'Acacia phyllodes', 'Acacia spathulata', 'Acacia stowardii', 'Acacia vermicularis', 'Acacia vypres']
Acacia spectabilis	woody	['Acacia spectabilis']
Acacia spilleriana	woody	['Acacia spilleriana']
