Species	PFT	Original names
Abacopteris nudata	not assigned (fern)	['Abacopteris multilineata']
Abarema	not assigned (legume?)	['Abarema lusoria']
Abarema cochliacarpos	not assigned (tree)	[]
Abatia parviflora	not assigned (shrub/tree)	[]
Abelia chinensis	not assigned (shrub)	['Abelia grandiflora']
Abelia macrotera	not assigned (shrub)	['Abelia graebneriana']
Abelia triflora	not assigned (shrub/tree)	[]
Abeliophyllum distichum	not assigned (shrub)	[]
Abelmoschus crinitus	forb	[]
Abelmoschus esculentus	forb	['Hibiscus esculentus']
Abelmoschus ficulneus	not assigned (shrub)	[]
Abelmoschus manihot	forb	['Hibiscus manihot']
Abelmoschus moschatus	forb	['Hibiscus abelmoschus']
Abies alba	not assigned (tree)	['Abies pardei']
Abies amabilis	not assigned (tree)	[]
Abies balsamea	not assigned (tree)	[]
Abies borisii-regis	not assigned (tree)	[]
Abies bracteata	not assigned (tree)	[]
Abies cephalonica	not assigned (tree)	[]
Abies chensiensis	not assigned (tree)	[]
Abies cilicica	not assigned (tree)	[]
Abies concolor	not assigned (tree)	[]
Abies delavayi	not assigned (tree)	[]
Abies densa	not assigned (tree)	[]
Abies fabri	not assigned (tree)	[]
Abies fargesii	not assigned (tree)	['Abies faxoniana']
Abies firma	not assigned (tree)	[]
Abies forrestii	not assigned (tree)	['Abies georgei']
Abies fraseri	not assigned (tree)	[]
Abies grandis	not assigned (tree)	[]
Abies guatemalensis	not assigned (tree)	[]
Abies holophylla	not assigned (tree)	[]
Abies homolepis	not assigned (tree)	[]
Abies kawakamii	not assigned (tree)	[]
Abies koreana	not assigned (tree)	[]
Abies lasiocarpa	not assigned (tree)	['Abies arizonica']
Abies magnifica	not assigned (tree)	['Abies shastensis']
Abies mariesii	not assigned (tree)	[]
Abies nebrodensis	not assigned (tree)	[]
Abies nephrolepis	not assigned (tree)	[]
Abies nordmanniana	not assigned (tree)	['Abies bornmuelleriana']
Abies numidica	not assigned (tree)	[]
Abies pindrow	not assigned (tree)	[]
Abies pinsapo	not assigned (tree)	['Abies marocana']
Abies procera	not assigned (tree)	[]
Abies recurvata	not assigned (tree)	['Abies ernestii']
Abies religiosa	not assigned (tree)	[]
Abies sachalinensis	not assigned (tree)	[]
Abies sibirica	not assigned (tree)	[]
Abies spectabilis	not assigned (tree)	[]
Abies squamata	not assigned (tree)	[]
Abies veitchii	not assigned (tree)	[]
Abies vejarii	not assigned (tree)	[]
Abildgaardia macrantha	grass	['Fimbristylis macrantha']
Abildgaardia ovata	grass	['Fimbristylis monostachya', 'Fimbristylis ovata']
Abildgaardia oxystachya	grass	['Fimbristylis oxystachya']
Abildgaardia schoenoides	grass	['Fimbristylis squarrulosa']
Abildgaardia triflora	grass	['Fimbristylis triflora']
Abiu caramuri	not assigned (tree)	[]
Abrahamia ditimena	not assigned (tree)	['Protorhus ditimena']
Abrahamia sericea	not assigned (tree)	['Protorhus sericea']
Abrahamia viguieri	not assigned (shrub/tree)	['Protorhus viguieri']
Abrodictyum caudatum	not assigned (fern)	['Macroglena caudata']
Abrodictyum elongatum	not assigned (fern)	['Selenodesmium elongatum']
Abroma augustum	not assigned (shrub)	['Abroma augusta']
Abronia ameliae	forb	[]
Abronia fragrans	forb	[]
Abronia latifolia	forb	[]
Abronia maritima	forb	[]
Abronia pogonantha	forb	[]
Abronia turbinata	forb	[]
Abronia umbellata	forb	[]
Abronia villosa	forb	[]
Abrophyllum ornans	not assigned (shrub/tree)	[]
Abrus canescens	not assigned (shrub)	[]
Abrus laevigatus	not assigned (legume?)	[]
Abrus precatorius	not assigned (shrub)	[]
Abrus pulchellus	not assigned (shrub)	[]
Abrus schimperi	not assigned (shrub)	[]
Abuta grandifolia	not assigned (tree)	[]
Abuta grisebachii	not assigned ()	[]
Abuta imene	not assigned ()	[]
Abuta pahni	not assigned ()	[]
Abuta panamensis	not assigned (tree)	[]
Abuta racemosa	not assigned ()	[]
Abuta rufescens	forb	[]
Abuta solimoesensis	not assigned ()	[]
Abuta velutina	not assigned (shrub/tree)	[]
Abutilon	not assigned	['Abutilon canariense', 'Abutilon molle']
Abutilon abutiloides	not assigned (herb/shrub)	[]
Abutilon angulatum	not assigned (herb/shrub)	[]
Abutilon auritum	not assigned (shrub)	[]
Abutilon austroafricanum	not assigned (herb/shrub)	['Abutilon austro-africanum']
Abutilon bidentatum	not assigned (shrub)	[]
Abutilon bivalve	not assigned ()	['Bastardia bivalvis']
Abutilon cryptopetalum	not assigned (herb/shrub)	[]
Abutilon dugesii	not assigned (shrub)	[]
Abutilon englerianum	not assigned (shrub)	[]
Abutilon eremitopetalum	not assigned (shrub)	[]
Abutilon fraseri	not assigned (shrub)	[]
Abutilon fruticosum	not assigned (herb/shrub)	[]
Abutilon glabriflorum	not assigned (shrub)	[]
Abutilon grandiflorum	not assigned (herb/shrub)	[]
Abutilon grantii	not assigned (herb/shrub)	[]
Abutilon greveanum	not assigned (shrub)	[]
Abutilon guineense	not assigned (shrub)	[]
Abutilon hirtum	not assigned (herb/shrub)	[]
Abutilon incanum	not assigned (herb/shrub)	[]
Abutilon indicum	not assigned (shrub)	[]
Abutilon lauraster	not assigned (herb/shrub)	[]
Abutilon lepidum	not assigned (shrub)	[]
Abutilon leucopetalum	not assigned (shrub)	[]
Abutilon longicuspe	not assigned (shrub)	[]
Abutilon mauritianum	not assigned (herb/shrub)	['Pavonia patens']
Abutilon menziesii	not assigned (shrub)	[]
Abutilon mitchellii	not assigned (shrub)	['Abutilon mitchelli']
Abutilon mollissimum	not assigned (shrub)	[]
Abutilon otocarpum	not assigned (shrub)	[]
Abutilon oxycarpum	not assigned (shrub)	[]
Abutilon pannosum	not assigned	['Abutilon muticum']
Abutilon parvulum	forb	[]
Abutilon pseudocleistogamum	not assigned (shrub)	[]
Abutilon pycnodon	not assigned (herb/shrub)	['Abutilon matopense']
Abutilon ramosum	not assigned (herb/shrub)	[]
Abutilon reflexum	not assigned (shrub)	[]
Abutilon rehmannii	not assigned (shrub)	[]
Abutilon sandwicense	not assigned (shrub)	[]
Abutilon sonneratianum	not assigned (shrub)	[]
Abutilon theophrasti	forb	['Abutilon theophrastii']
Abutilon trisulcatum	not assigned (shrub)	[]
Abutilon viscosum	not assigned (herb/shrub)	['Bastardia viscosa']
Acacia	not assigned	['Acacia capitata', 'Acacia cunninghamii', 'Acacia discolor', 'Acacia glaucescens', 'Acacia mollissima', 'Acacia nana', 'Acacia nova-anglica', 'Acacia phyllodes', 'Acacia spathulata', 'Acacia stowardii', 'Acacia vermicularis', 'Acacia vypres']
Acacia acanthoclada	not assigned (shrub)	[]
Acacia acinacea	not assigned (shrub)	[]
Acacia acradenia	not assigned (shrub/tree)	[]
Acacia acrionastes	not assigned (tree)	[]
Acacia aculeatissima	not assigned (shrub)	[]
Acacia acuminata	not assigned (shrub/tree)	[]
Acacia adoxa	not assigned (shrub)	[]
Acacia adsurgens	not assigned (shrub)	[]
Acacia adunca	not assigned (shrub/tree)	['Acacia accola']
Acacia aestivalis	not assigned (shrub/tree)	[]
Acacia alata	not assigned (shrub)	[]
Acacia alcockii	not assigned (shrub)	[]
Acacia alleniana	not assigned (tree)	[]
Acacia amblygona	not assigned (shrub)	[]
Acacia ammobia	not assigned (tree)	[]
Acacia amoena	not assigned (tree)	[]
Acacia ampliceps	not assigned (tree)	[]
Acacia anceps	not assigned (shrub)	[]
Acacia ancistrocarpa	not assigned (tree)	[]
Acacia aneura	not assigned (shrub/tree)	[]
Acacia anfractuosa	not assigned (tree)	[]
Acacia anthochaera	not assigned (shrub/tree)	[]
Acacia aphylla	not assigned (shrub)	[]
Acacia aprica	not assigned (shrub)	[]
Acacia argyrophylla	not assigned (tree)	[]
Acacia ascendens	not assigned (tree)	[]
Acacia asepala	not assigned (shrub)	[]
Acacia aspera	not assigned (tree)	[]
Acacia assimilis	not assigned (tree)	[]
Acacia atkinsiana	not assigned (tree)	[]
Acacia aulacocarpa	not assigned (tree)	[]
Acacia aureocrinita	not assigned (shrub)	[]
Acacia auriculiformis	not assigned (tree)	['Acacia auriculaeformis']
Acacia ausfeldii	not assigned (tree)	[]
Acacia baeuerlenii	not assigned (shrub)	[]
Acacia baileyana	not assigned (tree)	[]
Acacia bakeri	not assigned (tree)	[]
Acacia bancroftiorum	not assigned (shrub/tree)	['Acacia bancroftii']
Acacia barringtonensis	not assigned (shrub)	[]
Acacia baueri	not assigned (tree)	[]
Acacia beadleana	not assigned (shrub)	[]
Acacia beauverdiana	not assigned (tree)	[]
Acacia beckleri	not assigned (tree)	[]
Acacia betchei	not assigned (tree)	[]
Acacia bifaria	not assigned (tree)	[]
Acacia binervata	not assigned (shrub/tree)	[]
Acacia binervia	not assigned (tree)	[]
Acacia bivenosa	not assigned (tree)	[]
Acacia blakei	not assigned (tree)	[]
Acacia blakelyi	not assigned (tree)	[]
Acacia blayana	not assigned (tree)	[]
Acacia boormanii	not assigned (tree)	[]
Acacia botrydion	not assigned (tree)	[]
Acacia brachybotrya	not assigned (shrub)	[]
Acacia brachystachya	not assigned (tree)	[]
Acacia brassii	not assigned (tree)	[]
Acacia browniana	not assigned (tree)	[]
Acacia brownii	not assigned (shrub)	[]
Acacia brumalis	not assigned (tree)	[]
Acacia brunioides	not assigned (shrub)	[]
Acacia bulgaensis	not assigned (shrub/tree)	[]
Acacia burbidgeae	not assigned (tree)	[]
Acacia burkittii	not assigned (shrub/tree)	[]
Acacia burrowii	not assigned (shrub/tree)	[]
Acacia buxifolia	not assigned (tree)	[]
Acacia caerulescens	not assigned (tree)	[]
Acacia caesariata	not assigned (shrub)	[]
Acacia caesiella	not assigned (shrub/tree)	[]
Acacia calamifolia	not assigned (tree)	[]
Acacia calcicola	not assigned (tree)	[]
Acacia calyculata	not assigned (shrub)	['Acacia australis']
Acacia cambagei	not assigned (tree)	[]
Acacia campylophylla	not assigned (shrub)	[]
Acacia cana	not assigned (shrub)	[]
Acacia cangaiensis	not assigned (shrub/tree)	[]
Acacia cardiophylla	not assigned (tree)	[]
Acacia carens	not assigned (shrub)	[]
Acacia caroleae	not assigned (shrub/tree)	[]
Acacia catenulata	not assigned (tree)	[]
Acacia cedroides	not assigned (shrub)	[]
Acacia celastrifolia	not assigned (shrub)	[]
Acacia celsa	not assigned (tree)	[]
Acacia cerastes	not assigned (shrub)	[]
Acacia chalkeri	not assigned (tree)	[]
Acacia chapmanii	not assigned (tree)	[]
Acacia cheelii	not assigned (shrub/tree)	[]
Acacia chisholmii	not assigned (tree)	[]
Acacia chrysotricha	not assigned (tree)	[]
Acacia cincinnata	not assigned (tree)	[]
Acacia citrinoviridis	not assigned (tree)	[]
Acacia clandullensis	not assigned (tree)	[]
Acacia clydonophora	not assigned (tree)	[]
Acacia cognata	not assigned (shrub/tree)	[]
Acacia colei	not assigned (shrub/tree)	[]
Acacia colletioides	not assigned (shrub)	[]
Acacia complanata	not assigned (tree)	[]
Acacia concurrens	not assigned (tree)	[]
Acacia conferta	not assigned	['Acacia tindaleae']
Acacia confusa	not assigned (tree)	[]
Acacia congesta	not assigned (tree)	[]
Acacia constablei	not assigned (tree)	[]
Acacia continua	not assigned (tree)	[]
Acacia coolgardiensis	not assigned (tree)	[]
Acacia coriacea	not assigned (shrub/tree)	[]
Acacia cornigera	not assigned (tree)	[]
Acacia costiniana	not assigned (shrub)	[]
Acacia coulteri	not assigned (tree)	[]
Acacia courtii	not assigned (tree)	[]
Acacia cowleana	not assigned (tree)	[]
Acacia craspedocarpa	not assigned (tree)	[]
Acacia crassa	not assigned (shrub/tree)	[]
Acacia crassicarpa	not assigned (tree)	[]
Acacia crassiuscula	not assigned (tree)	[]
Acacia cremiflora	not assigned (shrub)	[]
Acacia crenulata	not assigned (shrub/tree)	[]
Acacia cretacea	not assigned (shrub/tree)	[]
Acacia cultriformis	not assigned (shrub/tree)	[]
Acacia cuneifolia	not assigned (shrub)	[]
Acacia cupularis	not assigned (shrub)	[]
Acacia curranii	not assigned (tree)	[]
Acacia cuthbertsonii	not assigned (shrub/tree)	[]
Acacia cyclops	not assigned (shrub/tree)	[]
Acacia cyperophylla	not assigned (tree)	[]
Acacia dallachiana	not assigned (tree)	[]
Acacia dawsonii	not assigned (tree)	[]
Acacia dealbata	not assigned (shrub/tree)	[]
Acacia deanei	not assigned (tree)	[]
Acacia decora	not assigned (shrub)	[]
Acacia decurrens	not assigned (tree)	[]
Acacia deficiens	not assigned (tree)	[]
Acacia desmondii	not assigned (tree)	[]
Acacia dictyoneura	not assigned (tree)	[]
Acacia dictyophleba	not assigned (tree)	[]
Acacia difficilis	not assigned (tree)	[]
Acacia difformis	not assigned (tree)	[]
Acacia dimidiata	not assigned (shrub/tree)	[]
Acacia disparrima	not assigned (tree)	[]
Acacia disticha	not assigned (tree)	[]
Acacia dodonaeifolia	not assigned (tree)	[]
Acacia doratoxylon	not assigned (shrub/tree)	[]
Acacia drepanophylla	not assigned (tree)	[]
Acacia drummondii	not assigned (tree)	[]
Acacia dunnii	not assigned (tree)	[]
Acacia durabilis	not assigned (shrub)	[]
Acacia duriuscula	not assigned (shrub/tree)	[]
Acacia echinula	not assigned (tree)	[]
Acacia effusa	not assigned (shrub)	[]
Acacia elachantha	not assigned (shrub)	[]
Acacia elata	not assigned (tree)	[]
Acacia elongata	not assigned (tree)	[]
Acacia empelioclada	not assigned (shrub)	[]
Acacia enterocarpa	not assigned (shrub)	[]
Acacia eremophila	not assigned (shrub)	[]
Acacia erinacea	not assigned (shrub)	[]
Acacia eriopoda	not assigned (tree)	[]
Acacia errabunda	not assigned (tree)	[]
Acacia estrophiolata	not assigned (tree)	[]
Acacia euthycarpa	not assigned (tree)	[]
Acacia excelsa	not assigned (tree)	[]
Acacia extensa	not assigned (tree)	[]
Acacia falcata	not assigned (shrub)	[]
Acacia falciformis	not assigned (tree)	[]
Acacia farinosa	not assigned (shrub)	[]
Acacia fasciculifera	not assigned (tree)	[]
Acacia ferruginea	not assigned (tree)	[]
Acacia filicifolia	not assigned (tree)	[]
Acacia filifolia	not assigned (tree)	[]
Acacia fimbriata	not assigned (shrub/tree)	['Acacia perangusta']
Acacia flabellifolia	not assigned (shrub)	[]
Acacia flavescens	not assigned (tree)	[]
Acacia flexifolia	not assigned (tree)	[]
Acacia flocktoniae	not assigned (tree)	[]
Acacia floribunda	not assigned (shrub/tree)	[]
Acacia floydii	not assigned (shrub/tree)	[]
Acacia fragilis	not assigned (shrub)	[]
Acacia frigescens	not assigned (shrub/tree)	[]
Acacia fulva	not assigned (tree)	[]
Acacia galeata	not assigned (shrub/tree)	[]
Acacia genistifolia	not assigned	['Acacia diffusa']
Acacia georgensis	not assigned (shrub/tree)	[]
Acacia georginae	not assigned (tree)	[]
Acacia gillii	not assigned (shrub/tree)	[]
Acacia gladiiformis	not assigned (tree)	[]
Acacia glandulicarpa	not assigned (tree)	[]
Acacia glaucissima	not assigned (shrub)	[]
Acacia glaucocarpa	not assigned (tree)	[]
Acacia gnidium	not assigned (tree)	[]
Acacia gonocarpa	not assigned (shrub/tree)	[]
Acacia gonoclada	not assigned (shrub)	[]
Acacia gordonii	not assigned (tree)	[]
Acacia gracilifolia	not assigned (shrub)	[]
Acacia granitica	not assigned (tree)	[]
Acacia grasbyi	not assigned (tree)	[]
Acacia grisea	not assigned (shrub)	[]
Acacia gunnii	not assigned (tree)	[]
Acacia hakeoides	not assigned (shrub)	[]
Acacia hamersleyensis	not assigned (shrub/tree)	[]
Acacia hamiltoniana	not assigned (shrub)	[]
Acacia hammondii	not assigned (shrub)	[]
Acacia harpophylla	not assigned (tree)	[]
Acacia harveyi	not assigned (shrub)	[]
Acacia havilandiorum	not assigned (shrub/tree)	['Acacia havilandii']
Acacia hemignosta	not assigned (tree)	[]
Acacia hemiteles	not assigned (tree)	['Acacia graffiana']
Acacia hemsleyi	not assigned (tree)	[]
Acacia heterochroa	not assigned (shrub)	[]
Acacia heteroclita	not assigned (tree)	[]
Acacia heterophylla	not assigned (legume?)	[]
Acacia hilliana	not assigned (shrub)	[]
Acacia hispidula	not assigned (tree)	[]
Acacia holosericea	not assigned (shrub/tree)	[]
Acacia homalophylla	not assigned (tree)	['Acacia omalophylla']
Acacia howittii	not assigned (tree)	[]
Acacia hubbardiana	not assigned (shrub)	[]
Acacia huegelii	not assigned (shrub/tree)	[]
Acacia humifusa	not assigned (tree)	[]
Acacia hyaloneura	not assigned (shrub/tree)	[]
Acacia imbricata	not assigned (shrub)	[]
Acacia implexa	not assigned (shrub/tree)	[]
Acacia inaequilatera	not assigned (tree)	[]
Acacia incanicarpa	not assigned (shrub)	[]
Acacia inceana	not assigned (shrub)	[]
Acacia ingramii	not assigned (shrub/tree)	[]
Acacia inophloia	not assigned (tree)	[]
Acacia insolita	not assigned (tree)	[]
Acacia irrorata	not assigned (shrub/tree)	[]
Acacia iteaphylla	not assigned (tree)	[]
Acacia ixiophylla	not assigned (tree)	[]
Acacia jennerae	not assigned (tree)	[]
Acacia jonesii	not assigned (shrub)	[]
Acacia jucunda	not assigned (shrub)	[]
Acacia julifera	not assigned (shrub/tree)	[]
Acacia juncifolia	not assigned (tree)	[]
Acacia kempeana	not assigned (shrub/tree)	[]
Acacia kettlewelliae	not assigned (tree)	[]
Acacia koa	not assigned (tree)	['Acacia koaia']
Acacia kybeanensis	not assigned (shrub)	[]
Acacia kydrensis	not assigned (shrub)	[]
Acacia laccata	not assigned (tree)	[]
Acacia lachnophylla	not assigned (shrub)	[]
Acacia lamprocarpa	not assigned (tree)	[]
Acacia lanigera	not assigned (tree)	[]
Acacia lasiocalyx	not assigned (tree)	[]
Acacia lasiocarpa	not assigned (shrub)	[]
Acacia lateriticola	not assigned (tree)	[]
Acacia latescens	not assigned (tree)	[]
Acacia latipes	not assigned (shrub)	[]
Acacia latisepala	not assigned (tree)	[]
Acacia latzii	not assigned (tree)	[]
Acacia legnota	not assigned (tree)	[]
Acacia leiocalyx	not assigned (tree)	[]
Acacia leiophylla	not assigned (tree)	[]
Acacia leprosa	not assigned (tree)	[]
Acacia leptocarpa	not assigned (tree)	[]
Acacia leptoclada	not assigned (tree)	[]
Acacia leptopetala	not assigned (shrub)	[]
Acacia leptospermoides	not assigned (shrub)	[]
Acacia leptostachya	not assigned (shrub/tree)	[]
Acacia leucoclada	not assigned (tree)	[]
Acacia leucolobia	not assigned (shrub)	[]
Acacia ligulata	not assigned (shrub/tree)	[]
Acacia ligustrina	not assigned (shrub/tree)	[]
Acacia linearifolia	not assigned (shrub/tree)	[]
Acacia lineata	not assigned (shrub)	[]
Acacia lineolata	not assigned (tree)	[]
Acacia linifolia	not assigned (shrub)	[]
Acacia lirellata	not assigned (tree)	[]
Acacia loderi	not assigned (tree)	[]
Acacia longifolia	not assigned	['Acacia sophorae']
Acacia longispicata	not assigned (tree)	[]
Acacia longispinea	not assigned (tree)	[]
Acacia longissima	not assigned (shrub)	[]
Acacia lucasii	not assigned (shrub)	[]
Acacia lunata	not assigned (tree)	[]
Acacia lysiphloia	not assigned (tree)	[]
Acacia mabellae	not assigned (tree)	[]
Acacia macnuttiana	not assigned (tree)	[]
Acacia maconochieana	not assigned (tree)	[]
Acacia macradenia	not assigned (tree)	[]
Acacia maidenii	not assigned (tree)	[]
Acacia maitlandii	not assigned (tree)	[]
Acacia mangium	not assigned (tree)	[]
Acacia matthewii	not assigned (shrub/tree)	[]
Acacia mearnsii	not assigned (tree)	[]
Acacia megacephala	not assigned (tree)	[]
Acacia meiantha	not assigned (tree)	[]
Acacia meisneri	not assigned (tree)	[]
Acacia melanoxylon	not assigned (tree)	[]
Acacia melleodora	not assigned (shrub)	[]
Acacia melvillei	not assigned (tree)	[]
Acacia menzelii	not assigned (shrub)	[]
Acacia merrallii	not assigned (tree)	[]
Acacia merrickiae	not assigned (shrub)	[]
Acacia microbotrya	not assigned (tree)	[]
Acacia microcarpa	not assigned (tree)	[]
Acacia mimula	not assigned (tree)	[]
Acacia minutifolia	not assigned (shrub)	[]
Acacia mitchellii	not assigned (tree)	[]
Acacia mollifolia	not assigned (tree)	[]
Acacia mollis	not assigned (tree)	[]
Acacia montana	not assigned (tree)	[]
Acacia monticola	not assigned (tree)	[]
Acacia mountfordiae	not assigned (shrub)	[]
Acacia mucronata	not assigned (tree)	[]
Acacia muelleriana	not assigned (shrub/tree)	[]
Acacia multisiliqua	not assigned (shrub/tree)	[]
Acacia multispicata	not assigned (tree)	[]
Acacia murrayana	not assigned (tree)	[]
Acacia mutabilis	not assigned (shrub)	[]
Acacia myrtifolia	not assigned (shrub)	[]
Acacia nanodealbata	not assigned (shrub/tree)	[]
Acacia nematophylla	not assigned (shrub)	[]
Acacia neriifolia	not assigned (shrub/tree)	[]
Acacia nervosa	not assigned (tree)	[]
Acacia neurocarpa	not assigned (shrub/tree)	[]
Acacia neurophylla	not assigned (tree)	[]
Acacia nigripilosa	not assigned (shrub)	[]
Acacia nodiflora	not assigned (tree)	[]
Acacia notabilis	not assigned (tree)	[]
Acacia obliquinervia	not assigned (tree)	[]
Acacia obtusata	not assigned (tree)	[]
Acacia obtusifolia	not assigned (tree)	[]
Acacia olgana	not assigned (tree)	[]
Acacia olsenii	not assigned (shrub/tree)	[]
Acacia oncinocarpa	not assigned (shrub/tree)	[]
Acacia ophiolithica	not assigned (tree)	[]
Acacia oraria	not assigned (tree)	[]
Acacia orites	not assigned (tree)	[]
Acacia oshanesii	not assigned (tree)	[]
Acacia oswaldii	not assigned	['Acacia sessiliceps']
Acacia oxycedrus	not assigned (shrub)	[]
Acacia pachycarpa	not assigned (tree)	[]
Acacia papulosa	not assigned (shrub)	[]
Acacia papyrocarpa	not assigned (tree)	[]
Acacia paradoxa	not assigned	['Acacia barteriana']
Acacia parramattensis	not assigned (tree)	[]
Acacia parvipinnula	not assigned (tree)	[]
Acacia pedina	not assigned (shrub/tree)	[]
Acacia pellita	not assigned (tree)	[]
Acacia pendula	not assigned (tree)	['Acacia leucophylla']
Acacia penninervis	not assigned (tree)	[]
Acacia pentadenia	not assigned (tree)	[]
Acacia peuce	not assigned (tree)	[]
Acacia phaeocalyx	not assigned (tree)	[]
Acacia phasmoides	not assigned (tree)	[]
Acacia phlebocarpa	not assigned (shrub)	[]
Acacia piligera	not assigned (shrub)	[]
Acacia pilligaensis	not assigned (tree)	[]
Acacia pinguiculosa	not assigned (shrub)	[]
Acacia pinguifolia	not assigned (shrub)	[]
Acacia platycarpa	not assigned (tree)	[]
Acacia plectocarpa	not assigned (tree)	[]
Acacia plicata	not assigned (tree)	[]
Acacia podalyriaefolia	not assigned (tree)	[]
Acacia podalyriifolia	not assigned (shrub/tree)	[]
Acacia polybotrya	not assigned (tree)	[]
Acacia polystachya	not assigned (tree)	[]
Acacia prainii	not assigned (shrub/tree)	[]
Acacia pravifolia	not assigned (shrub)	[]
Acacia pravissima	not assigned (tree)	[]
Acacia prominens	not assigned (tree)	[]
Acacia provincialis	not assigned (shrub/tree)	[]
Acacia pruinocarpa	not assigned (tree)	[]
Acacia pruinosa	not assigned (tree)	[]
Acacia ptychoclada	not assigned (shrub)	[]
Acacia pubescens	not assigned (tree)	[]
Acacia pubifolia	not assigned (tree)	[]
Acacia pulchella	not assigned (shrub)	[]
Acacia pusilla	not assigned (shrub)	[]
Acacia pustula	not assigned (tree)	[]
Acacia pycnantha	not assigned (tree)	[]
Acacia pycnostachya	not assigned (tree)	[]
Acacia pyrifolia	not assigned (tree)	[]
Acacia quadrilateralis	not assigned (tree)	[]
Acacia quadrimarginea	not assigned (tree)	[]
Acacia quornensis	not assigned (tree)	[]
Acacia racospermoides	not assigned (shrub/tree)	[]
Acacia ramulosa	not assigned (shrub/tree)	[]
Acacia repanda	not assigned (tree)	[]
Acacia resinimarginea	not assigned (tree)	[]
Acacia retinodes	not assigned (tree)	[]
Acacia retivenea	not assigned (shrub)	[]
Acacia rhetinocarpa	not assigned (shrub)	[]
Acacia rhigiophylla	not assigned (shrub)	[]
Acacia rhodophloia	not assigned (shrub/tree)	[]
Acacia rhodoxylon	not assigned (tree)	[]
Acacia riceana	not assigned (tree)	[]
Acacia richii	not assigned (tree)	[]
Acacia rigens	not assigned (shrub)	[]
Acacia rossei	not assigned (tree)	[]
Acacia rostellifera	not assigned (tree)	[]
Acacia rothii	not assigned (tree)	[]
Acacia rubida	not assigned (tree)	[]
Acacia rupicola	not assigned (shrub)	[]
Acacia ruppii	not assigned (shrub)	[]
Acacia saliciformis	not assigned (tree)	[]
Acacia salicina	not assigned (tree)	[]
Acacia saligna	not assigned	['Acacia cyanophylla']
Acacia schinoides	not assigned (tree)	[]
Acacia scirpifolia	not assigned (shrub/tree)	[]
Acacia sclerophylla	not assigned (tree)	[]
Acacia sclerosperma	not assigned (tree)	[]
Acacia semirigida	not assigned (tree)	[]
Acacia sertiformis	not assigned (tree)	[]
Acacia shirleyi	not assigned (tree)	[]
Acacia sibilans	not assigned (tree)	[]
Acacia sibirica	not assigned (shrub/tree)	['Acacia clivicola']
Acacia siculiformis	not assigned (tree)	[]
Acacia silvestris	not assigned (tree)	[]
Acacia simmonsiana	not assigned (shrub)	[]
Acacia simsii	not assigned (tree)	[]
Acacia spectabilis	not assigned (tree)	[]
Acacia spilleriana	not assigned (shrub)	[]
Acacia spinescens	not assigned (shrub)	[]
Acacia splendens	not assigned (shrub)	[]
Acacia spondylophylla	not assigned (shrub)	[]
Acacia spooneri	not assigned (shrub)	[]
Acacia sporadica	not assigned (shrub)	[]
Acacia squamata	not assigned (shrub)	[]
Acacia startii	not assigned (shrub)	[]
Acacia steedmanii	not assigned (shrub/tree)	[]
Acacia stellaticeps	not assigned (shrub)	[]
Acacia stenophylla	not assigned (tree)	[]
Acacia stereophylla	not assigned (tree)	[]
Acacia stipuligera	not assigned (tree)	[]
Acacia stricta	not assigned (shrub/tree)	[]
Acacia strongylophylla	not assigned (shrub)	[]
Acacia suaveolens	not assigned (shrub)	[]
Acacia subcaerulea	not assigned (shrub)	[]
Acacia subporosa	not assigned (tree)	[]
Acacia subracemosa	not assigned (shrub)	[]
Acacia subtessarogona	not assigned (tree)	[]
Acacia subtilinervis	not assigned (shrub)	[]
Acacia subulata	not assigned (tree)	[]
Acacia sulcata	not assigned (tree)	[]
Acacia telmica	not assigned (tree)	[]
Acacia tenuissima	not assigned (shrub)	[]
Acacia terminalis	not assigned (shrub/tree)	[]
Acacia tetragonophylla	not assigned (shrub)	[]
Acacia tetraneura	not assigned (shrub)	[]
Acacia toondulya	not assigned (tree)	[]
Acacia torringtonensis	not assigned (tree)	[]
Acacia torulosa	not assigned (tree)	[]
Acacia trachycarpa	not assigned (tree)	[]
Acacia trachyphloia	not assigned (tree)	[]
Acacia trapezoidea	not assigned (shrub)	['Acacia littorea']
Acacia tratmaniana	not assigned (shrub)	[]
Acacia trinervata	not assigned (tree)	[]
Acacia trineura	not assigned (shrub)	[]
Acacia triptera	not assigned (shrub)	[]
Acacia triquetra	not assigned (shrub)	[]
Acacia tropica	not assigned (shrub/tree)	[]
Acacia truncata	not assigned (shrub)	[]
Acacia tumida	not assigned (tree)	[]
Acacia ulicifolia	not assigned	['Acacia juniperina']
Acacia ulicina	not assigned (tree)	[]
Acacia umbellata	not assigned (shrub/tree)	[]
Acacia uncinata	not assigned (shrub)	[]
Acacia undosa	not assigned (shrub)	[]
Acacia undulifolia	not assigned (tree)	[]
Acacia urophylla	not assigned (tree)	[]
Acacia venulosa	not assigned (tree)	[]
Acacia verniciflua	not assigned (shrub/tree)	[]
Acacia veronica	not assigned (tree)	[]
Acacia verticillata	not assigned (shrub/tree)	[]
Acacia vestita	not assigned (tree)	[]
Acacia victoriae	not assigned (shrub)	[]
Acacia viscidula	not assigned (tree)	[]
Acacia vittata	not assigned (tree)	[]
Acacia wattsiana	not assigned (tree)	[]
Acacia whibleyana	not assigned (tree)	[]
