Species	PFT	Original names
Eriochloa procera	grass	[]
Eriochloa pseudoacrotricha	grass	[]
Eriochloa punctata	grass	[]
Eriochloa rovumensis	grass	[]
Eriochloa sericea	grass	[]
Eriochloa setosa	grass	[]
Eriochloa stapfiana	grass	[]
Eriochloa stevensii	grass	[]
Eriochloa subulifera	grass	[]
Eriochloa succincta	grass	[]
Eriochloa tridentata	grass	[]
Eriochloa villosa	grass	[]
Eriochloa weberbaueri	grass	[]
Eriochrysis brachypogon	grass	[]
Eriochrysis cayennensis	grass	[]
Eriochrysis concepcionensis	grass	[]
Eriochrysis filiformis	grass	[]
Eriochrysis holcoides	grass	[]
Eriochrysis laxa	grass	[]
Eriochrysis pallida	grass	[]
Eriochrysis purpurata	grass	[]
Eriochrysis rangacharii	grass	[]
Eriochrysis villosa	grass	[]
Eriochrysis warmingiana	grass	[]
Eriocoelum lawtonii	not assigned (tree)	[]
Eriocoelum microspermum	not assigned (tree)	[]
Eriodictyon angustifolium	not assigned ()	[]
Eriodictyon californicum	not assigned (shrub)	[]
Eriodictyon crassifolium	not assigned (shrub)	[]
Eriodictyon tomentosum	forb	[]
Eriodictyon traskiae	not assigned (shrub)	[]
Eriodictyon trichocalyx	not assigned ()	[]
Eriogonum alatum	forb	[]
Eriogonum ampullaceum	forb	[]
Eriogonum annuum	forb	[]
Eriogonum arborescens	not assigned (shrub)	[]
Eriogonum baileyi	forb	[]
Eriogonum brachyanthum	forb	[]
Eriogonum caespitosum	forb	[]
Eriogonum cernuum	forb	[]
Eriogonum cinereum	not assigned (shrub)	[]
Eriogonum compositum	not assigned ()	[]
Eriogonum corymbosum	not assigned (shrub)	[]
Eriogonum crocatum	not assigned ()	[]
Eriogonum crosbyae	forb	['Eriogonum capistratum']
Eriogonum davidsonii	forb	[]
Eriogonum deflexum	forb	[]
Eriogonum effusum	not assigned (shrub)	[]
Eriogonum elatum	forb	[]
Eriogonum fasciculatum	not assigned (shrub)	[]
Eriogonum flavum	not assigned (herb/shrub)	[]
Eriogonum giganteum	not assigned ()	[]
Eriogonum heermannii	not assigned (shrub)	[]
Eriogonum heracleoides	not assigned ()	[]
Eriogonum inflatum	forb	[]
Eriogonum kennedyi	not assigned ()	[]
Eriogonum latifolium	forb	[]
Eriogonum lemmonii	forb	[]
Eriogonum luteolum	not assigned ()	[]
Eriogonum marifolium	not assigned (herb/shrub)	[]
Eriogonum microtheca	not assigned (shrub)	['Eriogonum microthecum']
Eriogonum nidularium	forb	[]
Eriogonum niveum	not assigned (herb/shrub)	[]
Eriogonum nudum	not assigned (herb/shrub)	[]
Eriogonum nummulare	forb	['Eriogonum kearneyi']
Eriogonum ovalifolium	forb	[]
Eriogonum parvifolium	not assigned ()	[]
Eriogonum pauciflorum	not assigned ()	['Eriogonum multiceps']
Eriogonum pharnaceoides	forb	[]
Eriogonum polycladon	forb	[]
Eriogonum pusillum	not assigned ()	[]
Eriogonum racemosum	not assigned (herb/shrub)	[]
Eriogonum rosense	forb	[]
Eriogonum roseum	not assigned ()	['Eriogonum virgatum']
Eriogonum saxatile	not assigned ()	[]
Eriogonum spergulinum	not assigned ()	[]
Eriogonum sphaerocephalum	not assigned (shrub)	[]
Eriogonum strictum	not assigned	['Eriogonum proliferum']
Eriogonum subreniforme	forb	[]
Eriogonum thymoides	not assigned (herb/shrub)	[]
Eriogonum trichopes	forb	[]
Eriogonum umbellatum	not assigned (herb/shrub)	[]
Eriogonum ursinum	not assigned ()	[]
Eriogonum vestitum	not assigned ()	[]
Eriogonum vimineum	not assigned ()	[]
Eriogonum wrightii	not assigned	['Eriogonum nodosum']
Eriolaena candollei	not assigned ()	[]
Eriolaena quinquelocularis	not assigned ()	[]
Eriolobus trilobatus	not assigned ()	[]
Erioneuron avenaceum	grass	[]
Erioneuron pilosum	grass	[]
Hollisteria lanata	not assigned ()	['Eriogonum lanatum']
Maireana sclerolaenoides	not assigned ()	['Eriochiton sclerolaenoides']
Munroa pulchella	grass	['Erioneuron pulchellum']
Pappochroma pappocromum	forb	['Erigeron pappocromus']
Psychrogeton poncinsii	forb	['Erigeron poncinsii']
Rhaphiolepis bengalensis	not assigned (tree)	['Eriobotrya bengalensis']
Rhaphiolepis bibas	not assigned (tree)	['Eriobotrya japonica']
Rhaphiolepis cavaleriei	not assigned ()	['Eriobotrya cavaleriei']
Rhaphiolepis deflexa	not assigned (tree)	['Eriobotrya deflexa']
Rhaphiolepis petiolata	not assigned (tree)	['Eriobotrya petiolata']
Rhaphiolepis williamtelliana	not assigned ()	['Eriobotrya fragrans']
Urochloa polystachya	grass	['Eriochloa polystachya']
