Species	PFT	Original names
Abacopteris nudata	(fern)	['Abacopteris multilineata']
Abarema cochliacarpos	(tree)	['Abarema cochliacarpos']
Abarema species	not assigned	['Abarema lusoria']
Abatia parviflora	(shrub/tree)	['Abatia parviflora']
Abelia chinensis	(shrub)	['Abelia chinensis', 'Abelia grandiflora']
Abelia macrotera	(shrub)	['Abelia graebneriana']
Abelia triflora	(shrub/tree)	['Abelia triflora']
Abeliophyllum distichum	(shrub)	['Abeliophyllum distichum']
Abelmoschus crinitus	forb	['Abelmoschus crinitus']
Abelmoschus esculentus	forb	['Abelmoschus esculentus', 'Hibiscus esculentus']
Abelmoschus ficulneus	(shrub)	['Abelmoschus ficulneus']
Abelmoschus manihot	forb	['Abelmoschus manihot', 'Hibiscus manihot']
Abelmoschus moschatus	forb	['Abelmoschus moschatus', 'Hibiscus abelmoschus']
Abies alba	(tree)	['Abies alba', 'Abies pardei']
Abies amabilis	(tree)	['Abies amabilis']
Abies balsamea	(tree)	['Abies balsamea']
Abies borisii-regis	(tree)	['Abies borisii-regis']
Abies bracteata	(tree)	['Abies bracteata']
Abies cephalonica	(tree)	['Abies cephalonica']
Abies chensiensis	(tree)	['Abies chensiensis']
Abies cilicica	(tree)	['Abies cilicica']
Abies concolor	(tree)	['Abies concolor']
Abies delavayi	(tree)	['Abies delavayi']
Abies densa	(tree)	['Abies densa']
Abies fabri	(tree)	['Abies fabri']
Abies fargesii	(tree)	['Abies fargesii', 'Abies faxoniana']
Abies firma	(tree)	['Abies firma']
Abies forrestii	(tree)	['Abies forrestii', 'Abies georgei']
Abies fraseri	(tree)	['Abies fraseri']
Abies grandis	(tree)	['Abies grandis']
Abies guatemalensis	(tree)	['Abies guatemalensis']
Abies holophylla	(tree)	['Abies holophylla']
Abies homolepis	(tree)	['Abies homolepis']
Abies kawakamii	(tree)	['Abies kawakamii']
Abies koreana	(tree)	['Abies koreana']
Abies lasiocarpa	(tree)	['Abies arizonica', 'Abies lasiocarpa']
Abies magnifica	(tree)	['Abies magnifica', 'Abies shastensis']
Abies mariesii	(tree)	['Abies mariesii']
Abies nebrodensis	(tree)	['Abies nebrodensis']
Abies nephrolepis	(tree)	['Abies nephrolepis']
Abies nordmanniana	(tree)	['Abies bornmuelleriana', 'Abies nordmanniana']
Abies numidica	(tree)	['Abies numidica']
Abies pindrow	(tree)	['Abies pindrow']
Abies pinsapo	(tree)	['Abies marocana', 'Abies pinsapo']
Abies procera	(tree)	['Abies procera']
Abies recurvata	(tree)	['Abies ernestii', 'Abies recurvata']
Abies religiosa	(tree)	['Abies religiosa']
Abies sachalinensis	(tree)	['Abies sachalinensis']
Abies sibirica	(tree)	['Abies sibirica']
Abies spectabilis	(tree)	['Abies spectabilis']
Abies squamata	(tree)	['Abies squamata']
Abies veitchii	(tree)	['Abies veitchii']
Abies vejarii	(tree)	['Abies vejarii']
Abildgaardia macrantha	grass	['Fimbristylis macrantha']
Abildgaardia ovata	grass	['Fimbristylis monostachya', 'Fimbristylis ovata']
Abildgaardia oxystachya	grass	['Fimbristylis oxystachya']
Abildgaardia schoenoides	grass	['Fimbristylis squarrulosa']
Abildgaardia triflora	grass	['Fimbristylis triflora']
Abiu caramuri	(tree)	['Abiu caramuri']
Abrahamia ditimena	(tree)	['Protorhus ditimena']
Abrahamia sericea	(tree)	['Protorhus sericea']
Abrahamia viguieri	(shrub/tree)	['Protorhus viguieri']
Abrodictyum caudatum	(fern)	['Macroglena caudata']
Abrodictyum elongatum	(fern)	['Selenodesmium elongatum']
Abroma augustum	(shrub)	['Abroma augusta']
Abronia ameliae	forb	['Abronia ameliae']
Abronia fragrans	forb	['Abronia fragrans']
Abronia latifolia	forb	['Abronia latifolia']
Abronia maritima	forb	['Abronia maritima']
Abronia pogonantha	forb	['Abronia pogonantha']
Abronia turbinata	forb	['Abronia turbinata']
Abronia umbellata	forb	['Abronia umbellata']
Abronia villosa	forb	['Abronia villosa']
Abrophyllum ornans	(shrub/tree)	['Abrophyllum ornans']
Abrus canescens	(shrub)	['Abrus canescens']
Abrus laevigatus	(legume?)	['Abrus laevigatus']
Abrus precatorius	(shrub)	['Abrus precatorius']
Abrus pulchellus	(shrub)	['Abrus pulchellus']
Abrus schimperi	(shrub)	['Abrus schimperi']
Abuta grandifolia	(tree)	['Abuta grandifolia']
Abuta grisebachii	not assigned	['Abuta grisebachii']
Abuta imene	not assigned	['Abuta imene']
Abuta pahni	not assigned	['Abuta pahni']
Abuta panamensis	(tree)	['Abuta panamensis']
Abuta racemosa	not assigned	['Abuta racemosa']
Abuta rufescens	forb	['Abuta rufescens']
Abuta solimoesensis	not assigned	['Abuta solimoesensis']
Abuta velutina	(shrub/tree)	['Abuta velutina']
Abutilon abutiloides	conflicting (forb vs. shrub)	['Abutilon abutiloides']
Abutilon angulatum	conflicting (forb vs. shrub)	['Abutilon angulatum']
Abutilon auritum	(shrub)	['Abutilon auritum']
Abutilon austroafricanum	conflicting (forb vs. shrub)	['Abutilon austroafricanum', 'Abutilon austro-africanum']
Abutilon bidentatum	(shrub)	['Abutilon bidentatum']
Abutilon bivalve	not assigned	['Bastardia bivalvis']
Abutilon cryptopetalum	conflicting (forb vs. shrub)	['Abutilon cryptopetalum']
Abutilon dugesii	(shrub)	['Abutilon dugesii']
Abutilon englerianum	(shrub)	['Abutilon englerianum']
Abutilon eremitopetalum	(shrub)	['Abutilon eremitopetalum']
Abutilon fraseri	(shrub)	['Abutilon fraseri']
Abutilon fruticosum	conflicting (forb vs. shrub)	['Abutilon fruticosum']
Abutilon glabriflorum	(shrub)	['Abutilon glabriflorum']
Abutilon grandiflorum	conflicting (forb vs. shrub)	['Abutilon grandiflorum']
Abutilon grantii	conflicting (forb vs. shrub)	['Abutilon grantii']
Abutilon greveanum	(shrub)	['Abutilon greveanum']
Abutilon guineense	(shrub)	['Abutilon guineense']
Abutilon hirtum	conflicting (forb vs. shrub)	['Abutilon hirtum']
Abutilon incanum	conflicting (forb vs. shrub)	['Abutilon incanum']
Abutilon indicum	(shrub)	['Abutilon indicum']
Abutilon lauraster	conflicting (forb vs. shrub)	['Abutilon lauraster']
Abutilon lepidum	(shrub)	['Abutilon lepidum']
Abutilon leucopetalum	(shrub)	['Abutilon leucopetalum']
Abutilon longicuspe	(shrub)	['Abutilon longicuspe']
Abutilon mauritianum	conflicting (forb vs. shrub)	['Abutilon mauritianum', 'Pavonia patens']
Abutilon menziesii	(shrub)	['Abutilon menziesii']
Abutilon mitchellii	(shrub)	['Abutilon mitchelli']
Abutilon mollissimum	(shrub)	['Abutilon mollissimum']
Abutilon otocarpum	(shrub)	['Abutilon otocarpum']
Abutilon oxycarpum	(shrub)	['Abutilon oxycarpum']
Abutilon pannosum	conflicting (forb vs. shrub)	['Abutilon muticum', 'Abutilon pannosum']
Abutilon parvulum	forb	['Abutilon parvulum']
Abutilon pseudocleistogamum	(shrub)	['Abutilon pseudocleistogamum']
Abutilon pycnodon	conflicting (forb vs. shrub)	['Abutilon matopense', 'Abutilon pycnodon']
Abutilon ramosum	conflicting (forb vs. shrub)	['Abutilon ramosum']
Abutilon reflexum	(shrub)	['Abutilon reflexum']
Abutilon rehmannii	(shrub)	['Abutilon rehmannii']
Abutilon sandwicense	(shrub)	['Abutilon sandwicense']
Abutilon sonneratianum	(shrub)	['Abutilon sonneratianum']
Abutilon species	not assigned	['Abutilon canariense', 'Abutilon molle']
Abutilon theophrasti	forb	['Abutilon theophrasti', 'Abutilon theophrastii']
Abutilon trisulcatum	(shrub)	['Abutilon trisulcatum']
Abutilon viscosum	conflicting (forb vs. shrub)	['Bastardia viscosa']
Acacia acanthoclada	(shrub)	['Acacia acanthoclada']
Acacia acinacea	(shrub)	['Acacia acinacea']
Acacia acradenia	(shrub/tree)	['Acacia acradenia']
Acacia acrionastes	(tree)	['Acacia acrionastes']
Acacia aculeatissima	(shrub)	['Acacia aculeatissima']
Acacia acuminata	(shrub/tree)	['Acacia acuminata']
Acacia adoxa	(shrub)	['Acacia adoxa']
Acacia adsurgens	(shrub)	['Acacia adsurgens']
Acacia adunca	(shrub/tree)	['Acacia accola', 'Acacia adunca']
Acacia aestivalis	(shrub/tree)	['Acacia aestivalis']
Acacia alata	(shrub)	['Acacia alata']
Acacia alcockii	(shrub)	['Acacia alcockii']
Acacia alleniana	(tree)	['Acacia alleniana']
Acacia amblygona	(shrub)	['Acacia amblygona']
Acacia ammobia	(tree)	['Acacia ammobia']
Acacia amoena	(tree)	['Acacia amoena']
Acacia ampliceps	(tree)	['Acacia ampliceps']
Acacia anceps	(shrub)	['Acacia anceps']
Acacia ancistrocarpa	(tree)	['Acacia ancistrocarpa']
Acacia aneura	(shrub/tree)	['Acacia aneura']
Acacia anfractuosa	(tree)	['Acacia anfractuosa']
Acacia anthochaera	(shrub/tree)	['Acacia anthochaera']
Acacia aphylla	(shrub)	['Acacia aphylla']
Acacia aprica	(shrub)	['Acacia aprica']
Acacia argyrophylla	(tree)	['Acacia argyrophylla']
Acacia ascendens	(tree)	['Acacia ascendens']
Acacia asepala	(shrub)	['Acacia asepala']
Acacia aspera	(tree)	['Acacia aspera']
Acacia assimilis	(tree)	['Acacia assimilis']
Acacia atkinsiana	(tree)	['Acacia atkinsiana']
Acacia aulacocarpa	(tree)	['Acacia aulacocarpa']
Acacia aureocrinita	(shrub)	['Acacia aureocrinita']
Acacia auriculiformis	(tree)	['Acacia auriculaeformis', 'Acacia auriculiformis']
Acacia ausfeldii	(tree)	['Acacia ausfeldii']
Acacia baeuerlenii	(shrub)	['Acacia baeuerlenii']
Acacia baileyana	(tree)	['Acacia baileyana']
Acacia bakeri	(tree)	['Acacia bakeri']
Acacia bancroftiorum	(shrub/tree)	['Acacia bancroftii']
Acacia barringtonensis	(shrub)	['Acacia barringtonensis']
Acacia baueri	(tree)	['Acacia baueri']
Acacia beadleana	(shrub)	['Acacia beadleana']
Acacia beauverdiana	(tree)	['Acacia beauverdiana']
Acacia beckleri	(tree)	['Acacia beckleri']
Acacia betchei	(tree)	['Acacia betchei']
Acacia bifaria	(tree)	['Acacia bifaria']
Acacia binervata	(shrub/tree)	['Acacia binervata']
Acacia binervia	(tree)	['Acacia binervia']
Acacia bivenosa	(tree)	['Acacia bivenosa']
Acacia blakei	(tree)	['Acacia blakei']
Acacia blakelyi	(tree)	['Acacia blakelyi']
Acacia blayana	(tree)	['Acacia blayana']
Acacia boormanii	(tree)	['Acacia boormanii']
Acacia botrydion	(tree)	['Acacia botrydion']
Acacia brachybotrya	(shrub)	['Acacia brachybotrya']
Acacia brachystachya	(tree)	['Acacia brachystachya']
Acacia brassii	(tree)	['Acacia brassii']
Acacia browniana	(tree)	['Acacia browniana']
Acacia brownii	(shrub)	['Acacia brownii']
Acacia brumalis	(tree)	['Acacia brumalis']
Acacia brunioides	(shrub)	['Acacia brunioides']
Acacia bulgaensis	(shrub/tree)	['Acacia bulgaensis']
Acacia burbidgeae	(tree)	['Acacia burbidgeae']
Acacia burkittii	(shrub/tree)	['Acacia burkittii']
Acacia burrowii	(shrub/tree)	['Acacia burrowii']
Acacia buxifolia	(tree)	['Acacia buxifolia']
Acacia caerulescens	(tree)	['Acacia caerulescens']
Acacia caesariata	(shrub)	['Acacia caesariata']
Acacia caesiella	(shrub/tree)	['Acacia caesiella']
Acacia calamifolia	(tree)	['Acacia calamifolia']
Acacia calcicola	(tree)	['Acacia calcicola']
Acacia calyculata	(shrub)	['Acacia australis']
Acacia cambagei	(tree)	['Acacia cambagei']
Acacia campylophylla	(shrub)	['Acacia campylophylla']
Acacia cana	(shrub)	['Acacia cana']
Acacia cangaiensis	(shrub/tree)	['Acacia cangaiensis']
Acacia cardiophylla	(tree)	['Acacia cardiophylla']
Acacia carens	(shrub)	['Acacia carens']
Acacia caroleae	(shrub/tree)	['Acacia caroleae']
Acacia catenulata	(tree)	['Acacia catenulata']
Acacia cedroides	(shrub)	['Acacia cedroides']
Acacia celastrifolia	(shrub)	['Acacia celastrifolia']
Acacia celsa	(tree)	['Acacia celsa']
Acacia cerastes	(shrub)	['Acacia cerastes']
Acacia chalkeri	(tree)	['Acacia chalkeri']
Acacia chapmanii	(tree)	['Acacia chapmanii']
Acacia cheelii	(shrub/tree)	['Acacia cheelii']
Acacia chisholmii	(tree)	['Acacia chisholmii']
Acacia chrysotricha	(tree)	['Acacia chrysotricha']
Acacia cincinnata	(tree)	['Acacia cincinnata']
Acacia citrinoviridis	(tree)	['Acacia citrinoviridis']
Acacia clandullensis	(tree)	['Acacia clandullensis']
Acacia clydonophora	(tree)	['Acacia clydonophora']
Acacia cognata	(shrub/tree)	['Acacia cognata']
Acacia colei	(shrub/tree)	['Acacia colei']
Acacia colletioides	(shrub)	['Acacia colletioides']
Acacia complanata	(tree)	['Acacia complanata']
Acacia concurrens	(tree)	['Acacia concurrens']
Acacia conferta	(shrub/tree)	['Acacia conferta', 'Acacia tindaleae']
Acacia confusa	(tree)	['Acacia confusa']
Acacia congesta	(tree)	['Acacia congesta']
Acacia constablei	(tree)	['Acacia constablei']
Acacia continua	(tree)	['Acacia continua']
Acacia coolgardiensis	(tree)	['Acacia coolgardiensis']
Acacia coriacea	(shrub/tree)	['Acacia coriacea']
Acacia cornigera	(tree)	['Acacia cornigera']
Acacia costiniana	(shrub)	['Acacia costiniana']
Acacia coulteri	(tree)	['Acacia coulteri']
Acacia courtii	(tree)	['Acacia courtii']
Acacia cowleana	(tree)	['Acacia cowleana']
Acacia craspedocarpa	(tree)	['Acacia craspedocarpa']
Acacia crassa	(shrub/tree)	['Acacia crassa']
Acacia crassicarpa	(tree)	['Acacia crassicarpa']
Acacia crassiuscula	(tree)	['Acacia crassiuscula']
Acacia cremiflora	(shrub)	['Acacia cremiflora']
Acacia crenulata	(shrub/tree)	['Acacia crenulata']
Acacia cretacea	(shrub/tree)	['Acacia cretacea']
Acacia cultriformis	(shrub/tree)	['Acacia cultriformis']
Acacia cuneifolia	(shrub)	['Acacia cuneifolia']
Acacia cupularis	(shrub)	['Acacia cupularis']
Acacia curranii	(tree)	['Acacia curranii']
Acacia cuthbertsonii	(shrub/tree)	['Acacia cuthbertsonii']
Acacia cyclops	(shrub/tree)	['Acacia cyclops']
Acacia cyperophylla	(tree)	['Acacia cyperophylla']
Acacia dallachiana	(tree)	['Acacia dallachiana']
Acacia dawsonii	(tree)	['Acacia dawsonii']
Acacia dealbata	(shrub/tree)	['Acacia dealbata']
Acacia deanei	(tree)	['Acacia deanei']
Acacia decora	(shrub)	['Acacia decora']
Acacia decurrens	(tree)	['Acacia decurrens']
Acacia deficiens	(tree)	['Acacia deficiens']
Acacia desmondii	(tree)	['Acacia desmondii']
Acacia dictyoneura	(tree)	['Acacia dictyoneura']
Acacia dictyophleba	(tree)	['Acacia dictyophleba']
Acacia difficilis	(tree)	['Acacia difficilis']
Acacia difformis	(tree)	['Acacia difformis']
Acacia dimidiata	(shrub/tree)	['Acacia dimidiata']
Acacia disparrima	(tree)	['Acacia disparrima']
Acacia disticha	(tree)	['Acacia disticha']
Acacia dodonaeifolia	(tree)	['Acacia dodonaeifolia']
Acacia doratoxylon	(shrub/tree)	['Acacia doratoxylon']
Acacia drepanophylla	(tree)	['Acacia drepanophylla']
Acacia drummondii	(tree)	['Acacia drummondii']
Acacia dunnii	(tree)	['Acacia dunnii']
Acacia durabilis	(shrub)	['Acacia durabilis']
Acacia duriuscula	(shrub/tree)	['Acacia duriuscula']
Acacia echinula	(tree)	['Acacia echinula']
Acacia effusa	(shrub)	['Acacia effusa']
Acacia elachantha	(shrub)	['Acacia elachantha']
Acacia elata	(tree)	['Acacia elata']
Acacia elongata	(tree)	['Acacia elongata']
Acacia empelioclada	(shrub)	['Acacia empelioclada']
Acacia enterocarpa	(shrub)	['Acacia enterocarpa']
Acacia eremophila	(shrub)	['Acacia eremophila']
Acacia erinacea	(shrub)	['Acacia erinacea']
Acacia eriopoda	(tree)	['Acacia eriopoda']
Acacia errabunda	(tree)	['Acacia errabunda']
Acacia estrophiolata	(tree)	['Acacia estrophiolata']
Acacia euthycarpa	(tree)	['Acacia euthycarpa']
Acacia excelsa	(tree)	['Acacia excelsa']
Acacia extensa	(tree)	['Acacia extensa']
Acacia falcata	(shrub)	['Acacia falcata']
Acacia falciformis	(tree)	['Acacia falciformis']
Acacia farinosa	(shrub)	['Acacia farinosa']
Acacia fasciculifera	(tree)	['Acacia fasciculifera']
Acacia ferruginea	(tree)	['Acacia ferruginea']
Acacia filicifolia	(tree)	['Acacia filicifolia']
Acacia filifolia	(tree)	['Acacia filifolia']
Acacia fimbriata	(shrub/tree)	['Acacia fimbriata', 'Acacia perangusta']
Acacia flabellifolia	(shrub)	['Acacia flabellifolia']
Acacia flavescens	(tree)	['Acacia flavescens']
Acacia flexifolia	(tree)	['Acacia flexifolia']
Acacia flocktoniae	(tree)	['Acacia flocktoniae']
Acacia floribunda	(shrub/tree)	['Acacia floribunda']
Acacia floydii	(shrub/tree)	['Acacia floydii']
Acacia fragilis	(shrub)	['Acacia fragilis']
Acacia frigescens	(shrub/tree)	['Acacia frigescens']
Acacia fulva	(tree)	['Acacia fulva']
Acacia galeata	(shrub/tree)	['Acacia galeata']
Acacia genistifolia	(shrub/tree)	['Acacia diffusa', 'Acacia genistifolia']
Acacia georgensis	(shrub/tree)	['Acacia georgensis']
Acacia georginae	(tree)	['Acacia georginae']
Acacia gillii	(shrub/tree)	['Acacia gillii']
Acacia gladiiformis	(tree)	['Acacia gladiiformis']
Acacia glandulicarpa	(tree)	['Acacia glandulicarpa']
Acacia glaucissima	(shrub)	['Acacia glaucissima']
Acacia glaucocarpa	(tree)	['Acacia glaucocarpa']
Acacia gnidium	(tree)	['Acacia gnidium']
Acacia gonocarpa	(shrub/tree)	['Acacia gonocarpa']
Acacia gonoclada	(shrub)	['Acacia gonoclada']
Acacia gordonii	(tree)	['Acacia gordonii']
Acacia gracilifolia	(shrub)	['Acacia gracilifolia']
Acacia granitica	(tree)	['Acacia granitica']
Acacia grasbyi	(tree)	['Acacia grasbyi']
Acacia grisea	(shrub)	['Acacia grisea']
Acacia gunnii	(tree)	['Acacia gunnii']
Acacia hakeoides	(shrub)	['Acacia hakeoides']
Acacia hamersleyensis	(shrub/tree)	['Acacia hamersleyensis']
Acacia hamiltoniana	(shrub)	['Acacia hamiltoniana']
Acacia hammondii	(shrub)	['Acacia hammondii']
Acacia harpophylla	(tree)	['Acacia harpophylla']
Acacia harveyi	(shrub)	['Acacia harveyi']
Acacia havilandiorum	(shrub/tree)	['Acacia havilandii', 'Acacia havilandiorum']
Acacia hemignosta	(tree)	['Acacia hemignosta']
Acacia hemiteles	(tree)	['Acacia graffiana', 'Acacia hemiteles']
Acacia hemsleyi	(tree)	['Acacia hemsleyi']
Acacia heterochroa	(shrub)	['Acacia heterochroa']
Acacia heteroclita	(tree)	['Acacia heteroclita']
Acacia heterophylla	(legume?)	['Acacia heterophylla']
Acacia hilliana	(shrub)	['Acacia hilliana']
Acacia hispidula	(tree)	['Acacia hispidula']
Acacia holosericea	(shrub/tree)	['Acacia holosericea']
Acacia homalophylla	(tree)	['Acacia homalophylla', 'Acacia omalophylla']
Acacia howittii	(tree)	['Acacia howittii']
Acacia hubbardiana	(shrub)	['Acacia hubbardiana']
Acacia huegelii	(shrub/tree)	['Acacia huegelii']
Acacia humifusa	(tree)	['Acacia humifusa']
Acacia hyaloneura	(shrub/tree)	['Acacia hyaloneura']
Acacia imbricata	(shrub)	['Acacia imbricata']
Acacia implexa	(shrub/tree)	['Acacia implexa']
Acacia inaequilatera	(tree)	['Acacia inaequilatera']
Acacia incanicarpa	(shrub)	['Acacia incanicarpa']
Acacia inceana	(shrub)	['Acacia inceana']
Acacia ingramii	(shrub/tree)	['Acacia ingramii']
Acacia inophloia	(tree)	['Acacia inophloia']
Acacia insolita	(tree)	['Acacia insolita']
Acacia irrorata	(shrub/tree)	['Acacia irrorata']
Acacia iteaphylla	(tree)	['Acacia iteaphylla']
Acacia ixiophylla	(tree)	['Acacia ixiophylla']
Acacia jennerae	(tree)	['Acacia jennerae']
Acacia jonesii	(shrub)	['Acacia jonesii']
Acacia jucunda	(shrub)	['Acacia jucunda']
Acacia julifera	(shrub/tree)	['Acacia julifera']
Acacia juncifolia	(tree)	['Acacia juncifolia']
Acacia kempeana	(shrub/tree)	['Acacia kempeana']
Acacia kettlewelliae	(tree)	['Acacia kettlewelliae']
Acacia koa	(tree)	['Acacia koa', 'Acacia koaia']
Acacia kybeanensis	(shrub)	['Acacia kybeanensis']
Acacia kydrensis	(shrub)	['Acacia kydrensis']
Acacia laccata	(tree)	['Acacia laccata']
Acacia lachnophylla	(shrub)	['Acacia lachnophylla']
Acacia lamprocarpa	(tree)	['Acacia lamprocarpa']
Acacia lanigera	(tree)	['Acacia lanigera']
Acacia lasiocalyx	(tree)	['Acacia lasiocalyx']
Acacia lasiocarpa	(shrub)	['Acacia lasiocarpa']
Acacia lateriticola	(tree)	['Acacia lateriticola']
Acacia latescens	(tree)	['Acacia latescens']
Acacia latipes	(shrub)	['Acacia latipes']
Acacia latisepala	(tree)	['Acacia latisepala']
Acacia latzii	(tree)	['Acacia latzii']
Acacia legnota	(tree)	['Acacia legnota']
Acacia leiocalyx	(tree)	['Acacia leiocalyx']
Acacia leiophylla	(tree)	['Acacia leiophylla']
Acacia leprosa	(tree)	['Acacia leprosa']
Acacia leptocarpa	(tree)	['Acacia leptocarpa']
Acacia leptoclada	(tree)	['Acacia leptoclada']
Acacia leptopetala	(shrub)	['Acacia leptopetala']
Acacia leptospermoides	(shrub)	['Acacia leptospermoides']
Acacia leptostachya	(shrub/tree)	['Acacia leptostachya']
Acacia leucoclada	(tree)	['Acacia leucoclada']
Acacia leucolobia	(shrub)	['Acacia leucolobia']
Acacia ligulata	(shrub/tree)	['Acacia ligulata']
Acacia ligustrina	(shrub/tree)	['Acacia ligustrina']
Acacia linearifolia	(shrub/tree)	['Acacia linearifolia']
Acacia lineata	(shrub)	['Acacia lineata']
Acacia lineolata	(tree)	['Acacia lineolata']
Acacia linifolia	(shrub)	['Acacia linifolia']
Acacia lirellata	(tree)	['Acacia lirellata']
Acacia loderi	(tree)	['Acacia loderi']
Acacia longifolia	(shrub/tree)	['Acacia longifolia', 'Acacia sophorae']
Acacia longispicata	(tree)	['Acacia longispicata']
Acacia longispinea	(tree)	['Acacia longispinea']
Acacia longissima	(shrub)	['Acacia longissima']
Acacia lucasii	(shrub)	['Acacia lucasii']
Acacia lunata	(tree)	['Acacia lunata']
Acacia lysiphloia	(tree)	['Acacia lysiphloia']
Acacia mabellae	(tree)	['Acacia mabellae']
Acacia macnuttiana	(tree)	['Acacia macnuttiana']
Acacia maconochieana	(tree)	['Acacia maconochieana']
Acacia macradenia	(tree)	['Acacia macradenia']
Acacia maidenii	(tree)	['Acacia maidenii']
Acacia maitlandii	(tree)	['Acacia maitlandii']
Acacia mangium	(tree)	['Acacia mangium']
Acacia matthewii	(shrub/tree)	['Acacia matthewii']
Acacia mearnsii	(tree)	['Acacia mearnsii']
Acacia megacephala	(tree)	['Acacia megacephala']
Acacia meiantha	(tree)	['Acacia meiantha']
Acacia meisneri	(tree)	['Acacia meisneri']
Acacia melanoxylon	(tree)	['Acacia melanoxylon']
Acacia melleodora	(shrub)	['Acacia melleodora']
Acacia melvillei	(tree)	['Acacia melvillei']
Acacia menzelii	(shrub)	['Acacia menzelii']
Acacia merrallii	(tree)	['Acacia merrallii']
Acacia merrickiae	(shrub)	['Acacia merrickiae']
Acacia microbotrya	(tree)	['Acacia microbotrya']
Acacia microcarpa	(tree)	['Acacia microcarpa']
Acacia mimula	(tree)	['Acacia mimula']
Acacia minutifolia	(shrub)	['Acacia minutifolia']
Acacia mitchellii	(tree)	['Acacia mitchellii']
Acacia mollifolia	(tree)	['Acacia mollifolia']
Acacia mollis	(tree)	['Acacia mollis']
Acacia montana	(tree)	['Acacia montana']
Acacia monticola	(tree)	['Acacia monticola']
Acacia mountfordiae	(shrub)	['Acacia mountfordiae']
Acacia mucronata	(tree)	['Acacia mucronata']
Acacia muelleriana	(shrub/tree)	['Acacia muelleriana']
Acacia multisiliqua	(shrub/tree)	['Acacia multisiliqua']
Acacia multispicata	(tree)	['Acacia multispicata']
Acacia murrayana	(tree)	['Acacia murrayana']
Acacia mutabilis	(shrub)	['Acacia mutabilis']
Acacia myrtifolia	(shrub)	['Acacia myrtifolia']
Acacia nanodealbata	(shrub/tree)	['Acacia nanodealbata']
Acacia nematophylla	(shrub)	['Acacia nematophylla']
Acacia neriifolia	(shrub/tree)	['Acacia neriifolia']
Acacia nervosa	(tree)	['Acacia nervosa']
Acacia neurocarpa	(shrub/tree)	['Acacia neurocarpa']
Acacia neurophylla	(tree)	['Acacia neurophylla']
Acacia nigripilosa	(shrub)	['Acacia nigripilosa']
Acacia nodiflora	(tree)	['Acacia nodiflora']
Acacia notabilis	(tree)	['Acacia notabilis']
Acacia obliquinervia	(tree)	['Acacia obliquinervia']
Acacia obtusata	(tree)	['Acacia obtusata']
Acacia obtusifolia	(tree)	['Acacia obtusifolia']
Acacia olgana	(tree)	['Acacia olgana']
Acacia olsenii	(shrub/tree)	['Acacia olsenii']
Acacia oncinocarpa	(shrub/tree)	['Acacia oncinocarpa']
Acacia ophiolithica	(tree)	['Acacia ophiolithica']
Acacia oraria	(tree)	['Acacia oraria']
Acacia orites	(tree)	['Acacia orites']
Acacia oshanesii	(tree)	['Acacia oshanesii']
Acacia oswaldii	(shrub/tree)	['Acacia oswaldii', 'Acacia sessiliceps']
Acacia oxycedrus	(shrub)	['Acacia oxycedrus']
Acacia pachycarpa	(tree)	['Acacia pachycarpa']
Acacia papulosa	(shrub)	['Acacia papulosa']
Acacia papyrocarpa	(tree)	['Acacia papyrocarpa']
Acacia paradoxa	(shrub/tree)	['Acacia barteriana', 'Acacia paradoxa']
Acacia parramattensis	(tree)	['Acacia parramattensis']
Acacia parvipinnula	(tree)	['Acacia parvipinnula']
Acacia pedina	(shrub/tree)	['Acacia pedina']
Acacia pellita	(tree)	['Acacia pellita']
Acacia pendula	(tree)	['Acacia leucophylla', 'Acacia pendula']
Acacia penninervis	(tree)	['Acacia penninervis']
Acacia pentadenia	(tree)	['Acacia pentadenia']
Acacia peuce	(tree)	['Acacia peuce']
Acacia phaeocalyx	(tree)	['Acacia phaeocalyx']
Acacia phasmoides	(tree)	['Acacia phasmoides']
Acacia phlebocarpa	(shrub)	['Acacia phlebocarpa']
Acacia piligera	(shrub)	['Acacia piligera']
Acacia pilligaensis	(tree)	['Acacia pilligaensis']
Acacia pinguiculosa	(shrub)	['Acacia pinguiculosa']
Acacia pinguifolia	(shrub)	['Acacia pinguifolia']
Acacia platycarpa	(tree)	['Acacia platycarpa']
Acacia plectocarpa	(tree)	['Acacia plectocarpa']
Acacia plicata	(tree)	['Acacia plicata']
Acacia podalyriaefolia	(tree)	['Acacia podalyriaefolia']
Acacia podalyriifolia	(shrub/tree)	['Acacia podalyriifolia']
Acacia polybotrya	(tree)	['Acacia polybotrya']
Acacia polystachya	(tree)	['Acacia polystachya']
Acacia prainii	(shrub/tree)	['Acacia prainii']
Acacia pravifolia	(shrub)	['Acacia pravifolia']
Acacia pravissima	(tree)	['Acacia pravissima']
Acacia prominens	(tree)	['Acacia prominens']
Acacia provincialis	(shrub/tree)	['Acacia provincialis']
Acacia pruinocarpa	(tree)	['Acacia pruinocarpa']
Acacia pruinosa	(tree)	['Acacia pruinosa']
Acacia ptychoclada	(shrub)	['Acacia ptychoclada']
Acacia pubescens	(tree)	['Acacia pubescens']
Acacia pubifolia	(tree)	['Acacia pubifolia']
Acacia pulchella	(shrub)	['Acacia pulchella']
Acacia pusilla	(shrub)	['Acacia pusilla']
Acacia pustula	(tree)	['Acacia pustula']
