Species	Woodiness
Acacia bilimekii	woody
Acacia binervata	woody
Acacia binervia	woody
Acacia bivenosa	woody
Acacia blakei	woody
Acacia blakelyi	woody
Acacia blayana	woody
Acacia bonariensis	woody
Acacia boormanii	woody
Acacia borleae	woody
Acacia bossiaeoides	woody
Acacia botrydion	woody
Acacia brachybotrya	woody
Acacia brachystachya	woody
Acacia brassii	woody
Acacia brevispica	woody
Acacia browniana	woody
Acacia brownii	woody
Acacia brumalis	woody
Acacia brunioides	woody
Acacia bulgaensis	woody
Acacia burbidgeae	woody
Acacia burkei	woody
Acacia burkittii	woody
Acacia burrowii	woody
Acacia bussei	woody
Acacia buxifolia	woody
Acacia caerulescens	woody
Acacia caesariata	woody
Acacia caesia	woody
Acacia caesiella	woody
Acacia caffra	woody
Acacia calamifolia	woody
Acacia calcicola	woody
Acacia cambagei	woody
Acacia campylophylla	woody
Acacia cana	woody
Acacia cangaiensis	woody
Acacia capitata	not assigned
Acacia cardiophylla	woody
Acacia carens	woody
Acacia caroleae	woody
Acacia catechu	woody
Acacia catenulata	woody
Acacia caven	woody
Acacia cavenia	woody
Acacia cedroides	woody
Acacia celastrifolia	woody
Acacia celsa	woody
Acacia cerastes	woody
Acacia chalkeri	woody
Acacia chapmanii	woody
Acacia chariessa	woody
Acacia cheelii	woody
Acacia chisholmii	woody
Acacia choriophylla	woody
Acacia chrysotricha	woody
Acacia chundra	woody
Acacia cincinnata	woody
Acacia citrinoviridis	woody
Acacia clandullensis	woody
Acacia clivicola	woody
Acacia clydonophora	woody
Acacia cochliacantha	woody
Acacia cognata	woody
Acacia colei	woody
Acacia colletioides	woody
Acacia collinsii	woody
Acacia compacta	woody
Acacia complanata	woody
Acacia concurrens	woody
Acacia conferta	woody
Acacia confusa	woody
Acacia congesta	woody
Acacia constablei	woody
Acacia constricta	woody
Acacia continua	woody
Acacia coolgardiensis	woody
Acacia coriacea	woody
Acacia cornigera	woody
Acacia costiniana	woody
Acacia coulteri	woody
Acacia courtii	woody
Acacia cowleana	woody
Acacia craspedocarpa	woody
Acacia crassa	woody
Acacia crassicarpa	woody
Acacia crassiuscula	woody
Acacia cremiflora	woody
Acacia crenulata	woody
Acacia cretacea	woody
Acacia cultriformis	woody
Acacia cuneifolia	woody
Acacia cunninghamii	woody
Acacia cupularis	woody
Acacia curranii	woody
Acacia cuthbertsonii	woody
Acacia cyanophylla	woody
Acacia cyclops	woody
Acacia cyperophylla	woody
Acacia dallachiana	woody
Acacia davyi	woody
Acacia dawsonii	woody
Acacia dealbata	woody
Acacia deanei	woody
Acacia decora	woody
Acacia decurrens	woody
Acacia deficiens	woody
Acacia depauperata	woody
Acacia desmondii	woody
Acacia detinens	woody
Acacia dictyoneura	woody
Acacia dictyophleba	woody
Acacia difficilis	woody
Acacia difformis	woody
Acacia diffusa	woody
Acacia dimidiata	woody
Acacia discolor	woody
Acacia disparrima	woody
Acacia disticha	woody
Acacia dodonaeifolia	woody
Acacia dolichostachya	woody
Acacia doratoxylon	woody
Acacia drepanolobium	woody
Acacia drepanophylla	woody
Acacia drummondii	woody
Acacia dudgeoni	woody
Acacia dunnii	woody
Acacia durabilis	woody
Acacia duriuscula	woody
Acacia ebutsiniorum	woody
Acacia echinula	woody
Acacia edgeworthii	woody
Acacia effusa	woody
Acacia ehrenbergiana	woody
Acacia elachantha	woody
Acacia elata	woody
Acacia elatior	woody
Acacia elongata	woody
Acacia empelioclada	woody
Acacia enterocarpa	woody
Acacia eremophila	woody
Acacia erinacea	woody
Acacia eriocarpa	woody
Acacia erioloba	woody
Acacia eriopoda	woody
Acacia errabunda	woody
Acacia erubescens	woody
Acacia erythrocalyx	not assigned
Acacia estrophiolata	woody
Acacia etbaica	woody
Acacia euthycarpa	woody
Acacia excelsa	woody
Acacia extensa	woody
Acacia exuvialis	woody
Acacia falcata	woody
Acacia falciformis	woody
Acacia farinosa	woody
Acacia farnesiana	woody
Acacia fasciculata	woody
Acacia fasciculifera	woody
Acacia ferruginea	woody
Acacia filicifolia	woody
Acacia filifolia	woody
Acacia fimbriata	woody
Acacia flabellifolia	woody
Acacia flavescens	woody
Acacia fleckii	woody
Acacia flexifolia	woody
Acacia flocktoniae	woody
Acacia floribunda	woody
Acacia floydii	woody
Acacia fragilis	woody
Acacia frigescens	woody
Acacia fulva	woody
Acacia furcatispina	woody
Acacia gageana	woody
Acacia galeata	woody
Acacia galpinii	woody
Acacia gaumeri	woody
Acacia genistifolia	woody
Acacia gentlei	woody
Acacia georgensis	woody
Acacia georginae	woody
Acacia gerrardii	woody
Acacia gillii	woody
Acacia giraffae	woody
Acacia gladiiformis	woody
Acacia glandulicarpa	woody
Acacia glauca	woody
Acacia glaucescens	woody
Acacia glaucissima	woody
Acacia glaucocarpa	woody
Acacia glomerosa	woody
Acacia gnidium	woody
Acacia goetzei	woody
Acacia gonocarpa	woody
Acacia gonoclada	woody
Acacia gordonii	woody
Acacia gourmaensis	woody
Acacia gracilifolia	woody
Acacia graffiana	woody
Acacia grandicornuta	woody
Acacia granitica	woody
Acacia grasbyi	woody
Acacia greggii	woody
Acacia grisea	woody
Acacia gummifera	woody
Acacia gunnii	woody
Acacia haematoxylon	woody
Acacia hakeoides	woody
Acacia hamersleyensis	woody
Acacia hamiltoniana	woody
Acacia hammondii	woody
Acacia hamulosa	woody
Acacia harpophylla	woody
Acacia harveyi	woody
Acacia havilandii	woody
Acacia havilandiorum	woody
Acacia hayesii	woody
Acacia hebeclada	woody
Acacia hemignosta	woody
Acacia hemiteles	woody
Acacia hemsleyi	woody
Acacia hereroensis	woody
Acacia heterochroa	woody
Acacia heteroclita	woody
Acacia heterophylla	not assigned
Acacia hilliana	woody
Acacia hindsii	woody
Acacia hispidula	woody
Acacia hockii	woody
Acacia hohenackeri	not assigned
Acacia holosericea	woody
Acacia homalophylla	woody
Acacia horrida	woody
Acacia howittii	woody
Acacia hubbardiana	woody
Acacia huegelii	woody
Acacia humifusa	woody
Acacia hyaloneura	woody
Acacia imbricata	woody
Acacia implexa	woody
Acacia inaequilatera	woody
Acacia incanicarpa	woody
Acacia inceana	woody
Acacia ingramii	woody
Acacia inophloia	woody
Acacia insolita	woody
Acacia iraqensis	woody
Acacia irrorata	woody
Acacia iteaphylla	woody
Acacia ixiophylla	woody
Acacia jennerae	woody
Acacia johnwoodii	woody
Acacia jonesii	woody
Acacia jucunda	woody
Acacia julifera	woody
Acacia juncifolia	woody
Acacia juniperina	woody
Acacia kamerunensis	not assigned
Acacia karroo	woody
Acacia kempeana	woody
Acacia kettlewelliae	woody
Acacia kirkii	woody
Acacia koa	woody
Acacia koaia	woody
Acacia kosiensis	woody
Acacia kraussiana	woody
Acacia kybeanensis	woody
Acacia kydrensis	woody
Acacia laccata	woody
Acacia lachnophylla	woody
Acacia laeta	woody
Acacia lamprocarpa	woody
Acacia lanigera	woody
Acacia lasiocalyx	woody
Acacia lasiocarpa	woody
Acacia lasiopetala	woody
Acacia lateriticola	woody
Acacia latescens	woody
Acacia latipes	woody
Acacia latisepala	woody
Acacia latistipulata	woody
Acacia latzii	woody
Acacia lebbeck	woody
Acacia legnota	woody
Acacia leiocalyx	woody
Acacia leiophylla	woody
Acacia leprosa	woody
Acacia leptocarpa	woody
Acacia leptoclada	woody
Acacia leptopetala	woody
Acacia leptospermoides	woody
Acacia leptostachya	woody
Acacia leucoclada	woody
Acacia leucolobia	woody
Acacia leucophloea	woody
Acacia leucophylla	woody
Acacia ligulata	woody
Acacia ligustrina	woody
Acacia linearifolia	woody
Acacia linearis	woody
Acacia lineata	woody
Acacia lineolata	woody
Acacia linifolia	woody
Acacia lirellata	woody
Acacia litakunensis	not assigned
Acacia littorea	woody
Acacia loderi	woody
Acacia longifolia	woody
Acacia longispicata	woody
Acacia longispinea	woody
Acacia longissima	woody
Acacia loretensis	woody
Acacia lucasii	woody
Acacia luederitzii	woody
Acacia lunata	woody
Acacia lutea	woody
Acacia lysiphloia	woody
Acacia mabellae	woody
Acacia macbridei	woody
Acacia macilenta	woody
Acacia macnuttiana	woody
Acacia maconochieana	woody
Acacia macracantha	woody
Acacia macradenia	woody
Acacia macrophylla	woody
Acacia macrostachya	woody
Acacia macrothyrsa	woody
Acacia maidenii	woody
Acacia maitlandii	woody
Acacia mangium	woody
Acacia matthewii	woody
Acacia mayana	woody
Acacia mearnsii	woody
Acacia megacephala	woody
Acacia meiantha	woody
Acacia meisneri	woody
Acacia melanoceras	woody
Acacia melanoxylon	woody
Acacia melleodora	woody
Acacia mellifera	woody
Acacia melvillei	woody
Acacia menzelii	woody
Acacia meridionalis	woody
Acacia merrallii	woody
Acacia merrickiae	woody
Acacia microbotrya	woody
Acacia microcarpa	woody
Acacia millefolia	woody
Acacia mimula	woody
Acacia minutifolia	woody
Acacia mitchellii	woody
Acacia modesta	woody
Acacia mollifolia	woody
Acacia mollis	woody
Acacia mollissima	woody
Acacia montana	woody
Acacia monticola	woody
Acacia montigena	woody
Acacia montis-usti	woody
Acacia mountfordiae	woody
Acacia mucronata	woody
Acacia muelleriana	woody
Acacia multipinnata	not assigned
