Species	Family	Original names
Abacopteris nudata	Thelypteridaceae	['Abacopteris multilineata']
Abarema cochliacarpos	Fabaceae	[]
Abarema species	not assigned	['Abarema lusoria']
Abatia parviflora	Flacourtiaceae	[]
Abelia chinensis	Caprifoliaceae	['Abelia grandiflora']
Abelia macrotera	Caprifoliaceae	['Abelia graebneriana']
Abelia triflora	Caprifoliaceae	[]
Abeliophyllum distichum	Oleaceae	[]
Abelmoschus crinitus	Malvaceae	[]
Abelmoschus esculentus	Malvaceae	['Hibiscus esculentus']
Abelmoschus ficulneus	Malvaceae	[]
Abelmoschus manihot	Malvaceae	['Hibiscus manihot']
Abelmoschus moschatus	Malvaceae	['Hibiscus abelmoschus']
Abies alba	Pinaceae	['Abies pardei']
Abies amabilis	Pinaceae	[]
Abies balsamea	Pinaceae	[]
Abies borisii-regis	Pinaceae	[]
Abies bracteata	Pinaceae	[]
Abies cephalonica	Pinaceae	[]
Abies chensiensis	Pinaceae	[]
Abies cilicica	Pinaceae	[]
Abies concolor	Pinaceae	[]
Abies delavayi	Pinaceae	[]
Abies densa	Pinaceae	[]
Abies fabri	Pinaceae	[]
Abies fargesii	Pinaceae	['Abies faxoniana']
Abies firma	Pinaceae	[]
Abies forrestii	Pinaceae	['Abies georgei']
Abies fraseri	Pinaceae	[]
Abies grandis	Pinaceae	[]
Abies guatemalensis	Pinaceae	[]
Abies holophylla	Pinaceae	[]
Abies homolepis	Pinaceae	[]
Abies kawakamii	Pinaceae	[]
Abies koreana	Pinaceae	[]
Abies lasiocarpa	Pinaceae	['Abies arizonica']
Abies magnifica	Pinaceae	['Abies shastensis']
Abies mariesii	Pinaceae	[]
Abies nebrodensis	Pinaceae	[]
Abies nephrolepis	Pinaceae	[]
Abies nordmanniana	Pinaceae	['Abies bornmuelleriana']
Abies numidica	Pinaceae	[]
Abies pindrow	Pinaceae	[]
Abies pinsapo	Pinaceae	['Abies marocana']
Abies procera	Pinaceae	[]
Abies recurvata	Pinaceae	['Abies ernestii']
Abies religiosa	Pinaceae	[]
Abies sachalinensis	Pinaceae	[]
Abies sibirica	Pinaceae	[]
Abies spectabilis	Pinaceae	[]
Abies squamata	Pinaceae	[]
Abies veitchii	Pinaceae	[]
Abies vejarii	Pinaceae	[]
Abildgaardia macrantha	Cyperaceae	['Fimbristylis macrantha']
Abildgaardia ovata	Cyperaceae	['Fimbristylis monostachya', 'Fimbristylis ovata']
Abildgaardia oxystachya	Cyperaceae	['Fimbristylis oxystachya']
Abildgaardia schoenoides	Cyperaceae	['Fimbristylis squarrulosa']
Abildgaardia triflora	Cyperaceae	['Fimbristylis triflora']
Abiu caramuri	not assigned	[]
Abrahamia ditimena	Anacardiaceae	['Protorhus ditimena']
Abrahamia sericea	Anacardiaceae	['Protorhus sericea']
Abrahamia viguieri	Anacardiaceae	['Protorhus viguieri']
Abrodictyum caudatum	Hymenophyllaceae	['Macroglena caudata']
Abrodictyum elongatum	Hymenophyllaceae	['Selenodesmium elongatum']
Abroma augustum	Sterculiaceae	['Abroma augusta']
Abronia ameliae	Nyctaginaceae	[]
Abronia fragrans	Nyctaginaceae	[]
Abronia latifolia	Nyctaginaceae	[]
Abronia maritima	Nyctaginaceae	[]
Abronia pogonantha	Nyctaginaceae	[]
Abronia turbinata	Nyctaginaceae	[]
Abronia umbellata	Nyctaginaceae	[]
Abronia villosa	Nyctaginaceae	[]
Abrophyllum ornans	Escalloniaceae	[]
Abrus canescens	Fabaceae	[]
Abrus laevigatus	Fabaceae	[]
Abrus precatorius	Fabaceae	[]
Abrus pulchellus	Fabaceae	[]
Abrus schimperi	Fabaceae	[]
Abuta grandifolia	Menispermaceae	[]
Abuta grisebachii	Menispermaceae	[]
Abuta imene	Menispermaceae	[]
Abuta pahni	Menispermaceae	[]
Abuta panamensis	Menispermaceae	[]
Abuta racemosa	Menispermaceae	[]
Abuta rufescens	Menispermaceae	[]
Abuta solimoesensis	Menispermaceae	[]
Abuta velutina	Menispermaceae	[]
Abutilon abutiloides	Malvaceae	[]
Abutilon angulatum	Malvaceae	[]
Abutilon auritum	Malvaceae	[]
Abutilon austroafricanum	Malvaceae	['Abutilon austro-africanum']
Abutilon bidentatum	Malvaceae	[]
Abutilon bivalve	Malvaceae	['Bastardia bivalvis']
Abutilon cryptopetalum	Malvaceae	[]
Abutilon dugesii	Malvaceae	[]
Abutilon englerianum	Malvaceae	[]
Abutilon eremitopetalum	Malvaceae	[]
Abutilon fraseri	Malvaceae	[]
Abutilon fruticosum	Malvaceae	[]
Abutilon glabriflorum	Malvaceae	[]
Abutilon grandiflorum	Malvaceae	[]
Abutilon grantii	Malvaceae	[]
Abutilon greveanum	Malvaceae	[]
Abutilon guineense	Malvaceae	[]
Abutilon hirtum	Malvaceae	[]
Abutilon incanum	Malvaceae	[]
Abutilon indicum	Malvaceae	[]
Abutilon lauraster	Malvaceae	[]
Abutilon lepidum	Malvaceae	[]
Abutilon leucopetalum	Malvaceae	[]
Abutilon longicuspe	Malvaceae	[]
Abutilon mauritianum	Malvaceae	['Pavonia patens']
Abutilon menziesii	Malvaceae	[]
Abutilon mitchellii	Malvaceae	['Abutilon mitchelli']
Abutilon mollissimum	Malvaceae	[]
Abutilon otocarpum	Malvaceae	[]
Abutilon oxycarpum	Malvaceae	[]
Abutilon pannosum	Malvaceae	['Abutilon muticum']
Abutilon parvulum	Malvaceae	[]
Abutilon pseudocleistogamum	Malvaceae	[]
Abutilon pycnodon	Malvaceae	['Abutilon matopense']
Abutilon ramosum	Malvaceae	[]
Abutilon reflexum	Malvaceae	[]
Abutilon rehmannii	Malvaceae	[]
Abutilon sandwicense	Malvaceae	[]
Abutilon sonneratianum	Malvaceae	[]
Abutilon species	not assigned	['Abutilon canariense', 'Abutilon molle']
Abutilon theophrasti	Malvaceae	['Abutilon theophrastii']
Abutilon trisulcatum	Malvaceae	[]
Abutilon viscosum	Malvaceae	['Bastardia viscosa']
Acacia acanthoclada	Fabaceae	[]
Acacia acinacea	Fabaceae	[]
Acacia acradenia	Fabaceae	[]
Acacia acrionastes	Fabaceae	[]
Acacia aculeatissima	Fabaceae	[]
Acacia acuminata	Fabaceae	[]
Acacia adoxa	Fabaceae	[]
Acacia adsurgens	Fabaceae	[]
Acacia adunca	Fabaceae	['Acacia accola']
Acacia aestivalis	Fabaceae	[]
Acacia alata	Fabaceae	[]
Acacia alcockii	Fabaceae	[]
Acacia alleniana	Fabaceae	[]
Acacia amblygona	Fabaceae	[]
Acacia ammobia	Fabaceae	[]
Acacia amoena	Fabaceae	[]
Acacia ampliceps	Fabaceae	[]
Acacia anceps	Fabaceae	[]
Acacia ancistrocarpa	Fabaceae	[]
Acacia aneura	Fabaceae	[]
Acacia anfractuosa	Fabaceae	[]
Acacia anthochaera	Fabaceae	[]
Acacia aphylla	Fabaceae	[]
Acacia aprica	Fabaceae	[]
Acacia argyrophylla	Fabaceae	[]
Acacia ascendens	Fabaceae	[]
Acacia asepala	Fabaceae	[]
Acacia aspera	Fabaceae	[]
Acacia assimilis	Fabaceae	[]
Acacia atkinsiana	Fabaceae	[]
Acacia aulacocarpa	Fabaceae	[]
Acacia aureocrinita	Fabaceae	[]
Acacia auriculiformis	Fabaceae	['Acacia auriculaeformis']
Acacia ausfeldii	Fabaceae	[]
Acacia baeuerlenii	Fabaceae	[]
Acacia baileyana	Fabaceae	[]
Acacia bakeri	Fabaceae	[]
Acacia bancroftiorum	Fabaceae	['Acacia bancroftii']
Acacia barringtonensis	Fabaceae	[]
Acacia baueri	Fabaceae	[]
Acacia beadleana	Fabaceae	[]
Acacia beauverdiana	Fabaceae	[]
Acacia beckleri	Fabaceae	[]
Acacia betchei	Fabaceae	[]
Acacia bifaria	Fabaceae	[]
Acacia binervata	Fabaceae	[]
Acacia binervia	Fabaceae	[]
Acacia bivenosa	Fabaceae	[]
Acacia blakei	Fabaceae	[]
Acacia blakelyi	Fabaceae	[]
Acacia blayana	Fabaceae	[]
Acacia boormanii	Fabaceae	[]
Acacia botrydion	Fabaceae	[]
Acacia brachybotrya	Fabaceae	[]
Acacia brachystachya	Fabaceae	[]
Acacia brassii	Fabaceae	[]
Acacia browniana	Fabaceae	[]
Acacia brownii	Fabaceae	[]
Acacia brumalis	Fabaceae	[]
Acacia brunioides	Fabaceae	[]
Acacia bulgaensis	Fabaceae	[]
Acacia burbidgeae	Fabaceae	[]
Acacia burkittii	Fabaceae	[]
Acacia burrowii	Fabaceae	[]
Acacia buxifolia	Fabaceae	[]
Acacia caerulescens	Fabaceae	[]
Acacia caesariata	Fabaceae	[]
Acacia caesiella	Fabaceae	[]
Acacia calamifolia	Fabaceae	[]
Acacia calcicola	Fabaceae	[]
Acacia calyculata	Fabaceae	['Acacia australis']
Acacia cambagei	Fabaceae	[]
Acacia campylophylla	Fabaceae	[]
Acacia cana	Fabaceae	[]
Acacia cangaiensis	Fabaceae	[]
Acacia cardiophylla	Fabaceae	[]
Acacia carens	Fabaceae	[]
Acacia caroleae	Fabaceae	[]
Acacia catenulata	Fabaceae	[]
Acacia cedroides	Fabaceae	[]
Acacia celastrifolia	Fabaceae	[]
Acacia celsa	Fabaceae	[]
Acacia cerastes	Fabaceae	[]
Acacia chalkeri	Fabaceae	[]
Acacia chapmanii	Fabaceae	[]
Acacia cheelii	Fabaceae	[]
Acacia chisholmii	Fabaceae	[]
Acacia chrysotricha	Fabaceae	[]
Acacia cincinnata	Fabaceae	[]
Acacia citrinoviridis	Fabaceae	[]
Acacia clandullensis	Fabaceae	[]
Acacia clydonophora	Fabaceae	[]
Acacia cognata	Fabaceae	[]
Acacia colei	Fabaceae	[]
Acacia colletioides	Fabaceae	[]
Acacia complanata	Fabaceae	[]
Acacia concurrens	Fabaceae	[]
Acacia conferta	Fabaceae	['Acacia tindaleae']
Acacia confusa	Fabaceae	[]
Acacia congesta	Fabaceae	[]
Acacia constablei	Fabaceae	[]
Acacia continua	Fabaceae	[]
Acacia coolgardiensis	Fabaceae	[]
Acacia coriacea	Fabaceae	[]
Acacia cornigera	Fabaceae	[]
Acacia costiniana	Fabaceae	[]
Acacia coulteri	Fabaceae	[]
Acacia courtii	Fabaceae	[]
Acacia cowleana	Fabaceae	[]
Acacia craspedocarpa	Fabaceae	[]
Acacia crassa	Fabaceae	[]
Acacia crassicarpa	Fabaceae	[]
Acacia crassiuscula	Fabaceae	[]
Acacia cremiflora	Fabaceae	[]
Acacia crenulata	Fabaceae	[]
Acacia cretacea	Fabaceae	[]
Acacia cultriformis	Fabaceae	[]
Acacia cuneifolia	Fabaceae	[]
Acacia cupularis	Fabaceae	[]
Acacia curranii	Fabaceae	[]
Acacia cuthbertsonii	Fabaceae	[]
Acacia cyclops	Fabaceae	[]
Acacia cyperophylla	Fabaceae	[]
Acacia dallachiana	Fabaceae	[]
Acacia dawsonii	Fabaceae	[]
Acacia dealbata	Fabaceae	[]
Acacia deanei	Fabaceae	[]
Acacia decora	Fabaceae	[]
Acacia decurrens	Fabaceae	[]
Acacia deficiens	Fabaceae	[]
Acacia desmondii	Fabaceae	[]
Acacia dictyoneura	Fabaceae	[]
Acacia dictyophleba	Fabaceae	[]
Acacia difficilis	Fabaceae	[]
Acacia difformis	Fabaceae	[]
Acacia dimidiata	Fabaceae	[]
Acacia disparrima	Fabaceae	[]
Acacia disticha	Fabaceae	[]
Acacia dodonaeifolia	Fabaceae	[]
Acacia doratoxylon	Fabaceae	[]
Acacia drepanophylla	Fabaceae	[]
Acacia drummondii	Fabaceae	[]
Acacia dunnii	Fabaceae	[]
Acacia durabilis	Fabaceae	[]
Acacia duriuscula	Fabaceae	[]
Acacia echinula	Fabaceae	[]
Acacia effusa	Fabaceae	[]
Acacia elachantha	Fabaceae	[]
Acacia elata	Fabaceae	[]
Acacia elongata	Fabaceae	[]
Acacia empelioclada	Fabaceae	[]
Acacia enterocarpa	Fabaceae	[]
Acacia eremophila	Fabaceae	[]
Acacia erinacea	Fabaceae	[]
Acacia eriopoda	Fabaceae	[]
Acacia errabunda	Fabaceae	[]
Acacia estrophiolata	Fabaceae	[]
Acacia euthycarpa	Fabaceae	[]
Acacia excelsa	Fabaceae	[]
Acacia extensa	Fabaceae	[]
Acacia falcata	Fabaceae	[]
Acacia falciformis	Fabaceae	[]
Acacia farinosa	Fabaceae	[]
Acacia fasciculifera	Fabaceae	[]
Acacia ferruginea	Fabaceae	[]
Acacia filicifolia	Fabaceae	[]
Acacia filifolia	Fabaceae	[]
Acacia fimbriata	Fabaceae	['Acacia perangusta']
Acacia flabellifolia	Fabaceae	[]
Acacia flavescens	Fabaceae	[]
Acacia flexifolia	Fabaceae	[]
Acacia flocktoniae	Fabaceae	[]
Acacia floribunda	Fabaceae	[]
Acacia floydii	Fabaceae	[]
Acacia fragilis	Fabaceae	[]
Acacia frigescens	Fabaceae	[]
Acacia fulva	Fabaceae	[]
Acacia galeata	Fabaceae	[]
Acacia genistifolia	Fabaceae	['Acacia diffusa']
Acacia georgensis	Fabaceae	[]
Acacia georginae	Fabaceae	[]
Acacia gillii	Fabaceae	[]
Acacia gladiiformis	Fabaceae	[]
Acacia glandulicarpa	Fabaceae	[]
Acacia glaucissima	Fabaceae	[]
Acacia glaucocarpa	Fabaceae	[]
Acacia gnidium	Fabaceae	[]
Acacia gonocarpa	Fabaceae	[]
Acacia gonoclada	Fabaceae	[]
Acacia gordonii	Fabaceae	[]
Acacia gracilifolia	Fabaceae	[]
Acacia granitica	Fabaceae	[]
Acacia grasbyi	Fabaceae	[]
Acacia grisea	Fabaceae	[]
Acacia gunnii	Fabaceae	[]
Acacia hakeoides	Fabaceae	[]
Acacia hamersleyensis	Fabaceae	[]
Acacia hamiltoniana	Fabaceae	[]
Acacia hammondii	Fabaceae	[]
Acacia harpophylla	Fabaceae	[]
Acacia harveyi	Fabaceae	[]
Acacia havilandiorum	Fabaceae	['Acacia havilandii']
Acacia hemignosta	Fabaceae	[]
Acacia hemiteles	Fabaceae	['Acacia graffiana']
Acacia hemsleyi	Fabaceae	[]
Acacia heterochroa	Fabaceae	[]
Acacia heteroclita	Fabaceae	[]
Acacia heterophylla	Fabaceae	[]
Acacia hilliana	Fabaceae	[]
Acacia hispidula	Fabaceae	[]
Acacia holosericea	Fabaceae	[]
Acacia homalophylla	Fabaceae	['Acacia omalophylla']
Acacia howittii	Fabaceae	[]
Acacia hubbardiana	Fabaceae	[]
Acacia huegelii	Fabaceae	[]
Acacia humifusa	Fabaceae	[]
Acacia hyaloneura	Fabaceae	[]
Acacia imbricata	Fabaceae	[]
Acacia implexa	Fabaceae	[]
Acacia inaequilatera	Fabaceae	[]
Acacia incanicarpa	Fabaceae	[]
Acacia inceana	Fabaceae	[]
Acacia ingramii	Fabaceae	[]
Acacia inophloia	Fabaceae	[]
Acacia insolita	Fabaceae	[]
Acacia irrorata	Fabaceae	[]
Acacia iteaphylla	Fabaceae	[]
Acacia ixiophylla	Fabaceae	[]
Acacia jennerae	Fabaceae	[]
Acacia jonesii	Fabaceae	[]
Acacia jucunda	Fabaceae	[]
Acacia julifera	Fabaceae	[]
Acacia juncifolia	Fabaceae	[]
Acacia kempeana	Fabaceae	[]
Acacia kettlewelliae	Fabaceae	[]
Acacia koa	Fabaceae	['Acacia koaia']
Acacia kybeanensis	Fabaceae	[]
Acacia kydrensis	Fabaceae	[]
Acacia laccata	Fabaceae	[]
Acacia lachnophylla	Fabaceae	[]
Acacia lamprocarpa	Fabaceae	[]
Acacia lanigera	Fabaceae	[]
Acacia lasiocalyx	Fabaceae	[]
Acacia lasiocarpa	Fabaceae	[]
Acacia lateriticola	Fabaceae	[]
Acacia latescens	Fabaceae	[]
Acacia latipes	Fabaceae	[]
Acacia latisepala	Fabaceae	[]
Acacia latzii	Fabaceae	[]
Acacia legnota	Fabaceae	[]
Acacia leiocalyx	Fabaceae	[]
Acacia leiophylla	Fabaceae	[]
Acacia leprosa	Fabaceae	[]
Acacia leptocarpa	Fabaceae	[]
Acacia leptoclada	Fabaceae	[]
Acacia leptopetala	Fabaceae	[]
Acacia leptospermoides	Fabaceae	[]
Acacia leptostachya	Fabaceae	[]
Acacia leucoclada	Fabaceae	[]
Acacia leucolobia	Fabaceae	[]
Acacia ligulata	Fabaceae	[]
Acacia ligustrina	Fabaceae	[]
Acacia linearifolia	Fabaceae	[]
Acacia lineata	Fabaceae	[]
Acacia lineolata	Fabaceae	[]
Acacia linifolia	Fabaceae	[]
Acacia lirellata	Fabaceae	[]
Acacia loderi	Fabaceae	[]
Acacia longifolia	Fabaceae	['Acacia sophorae']
Acacia longispicata	Fabaceae	[]
Acacia longispinea	Fabaceae	[]
Acacia longissima	Fabaceae	[]
Acacia lucasii	Fabaceae	[]
Acacia lunata	Fabaceae	[]
Acacia lysiphloia	Fabaceae	[]
Acacia mabellae	Fabaceae	[]
Acacia macnuttiana	Fabaceae	[]
Acacia maconochieana	Fabaceae	[]
Acacia macradenia	Fabaceae	[]
Acacia maidenii	Fabaceae	[]
Acacia maitlandii	Fabaceae	[]
Acacia mangium	Fabaceae	[]
Acacia matthewii	Fabaceae	[]
Acacia mearnsii	Fabaceae	[]
Acacia megacephala	Fabaceae	[]
Acacia meiantha	Fabaceae	[]
Acacia meisneri	Fabaceae	[]
Acacia melanoxylon	Fabaceae	[]
Acacia melleodora	Fabaceae	[]
Acacia melvillei	Fabaceae	[]
Acacia menzelii	Fabaceae	[]
Acacia merrallii	Fabaceae	[]
Acacia merrickiae	Fabaceae	[]
Acacia microbotrya	Fabaceae	[]
Acacia microcarpa	Fabaceae	[]
Acacia mimula	Fabaceae	[]
Acacia minutifolia	Fabaceae	[]
Acacia mitchellii	Fabaceae	[]
Acacia mollifolia	Fabaceae	[]
Acacia mollis	Fabaceae	[]
Acacia montana	Fabaceae	[]
Acacia monticola	Fabaceae	[]
Acacia mountfordiae	Fabaceae	[]
Acacia mucronata	Fabaceae	[]
Acacia muelleriana	Fabaceae	[]
Acacia multisiliqua	Fabaceae	[]
Acacia multispicata	Fabaceae	[]
Acacia murrayana	Fabaceae	[]
Acacia mutabilis	Fabaceae	[]
Acacia myrtifolia	Fabaceae	[]
Acacia nanodealbata	Fabaceae	[]
Acacia nematophylla	Fabaceae	[]
Acacia neriifolia	Fabaceae	[]
Acacia nervosa	Fabaceae	[]
Acacia neurocarpa	Fabaceae	[]
Acacia neurophylla	Fabaceae	[]
Acacia nigripilosa	Fabaceae	[]
Acacia nodiflora	Fabaceae	[]
Acacia notabilis	Fabaceae	[]
Acacia obliquinervia	Fabaceae	[]
Acacia obtusata	Fabaceae	[]
Acacia obtusifolia	Fabaceae	[]
Acacia olgana	Fabaceae	[]
Acacia olsenii	Fabaceae	[]
Acacia oncinocarpa	Fabaceae	[]
Acacia ophiolithica	Fabaceae	[]
Acacia oraria	Fabaceae	[]
Acacia orites	Fabaceae	[]
Acacia oshanesii	Fabaceae	[]
Acacia oswaldii	Fabaceae	['Acacia sessiliceps']
Acacia oxycedrus	Fabaceae	[]
Acacia pachycarpa	Fabaceae	[]
Acacia papulosa	Fabaceae	[]
Acacia papyrocarpa	Fabaceae	[]
Acacia paradoxa	Fabaceae	['Acacia barteriana']
Acacia parramattensis	Fabaceae	[]
Acacia parvipinnula	Fabaceae	[]
Acacia pedina	Fabaceae	[]
Acacia pellita	Fabaceae	[]
Acacia pendula	Fabaceae	['Acacia leucophylla']
Acacia penninervis	Fabaceae	[]
Acacia pentadenia	Fabaceae	[]
Acacia peuce	Fabaceae	[]
Acacia phaeocalyx	Fabaceae	[]
Acacia phasmoides	Fabaceae	[]
Acacia phlebocarpa	Fabaceae	[]
Acacia piligera	Fabaceae	[]
Acacia pilligaensis	Fabaceae	[]
Acacia pinguiculosa	Fabaceae	[]
Acacia pinguifolia	Fabaceae	[]
Acacia platycarpa	Fabaceae	[]
Acacia plectocarpa	Fabaceae	[]
Acacia plicata	Fabaceae	[]
Acacia podalyriaefolia	Fabaceae	[]
Acacia podalyriifolia	Fabaceae	[]
Acacia polybotrya	Fabaceae	[]
Acacia polystachya	Fabaceae	[]
Acacia prainii	Fabaceae	[]
Acacia pravifolia	Fabaceae	[]
Acacia pravissima	Fabaceae	[]
Acacia prominens	Fabaceae	[]
Acacia provincialis	Fabaceae	[]
Acacia pruinocarpa	Fabaceae	[]
Acacia pruinosa	Fabaceae	[]
Acacia ptychoclada	Fabaceae	[]
Acacia pubescens	Fabaceae	[]
Acacia pubifolia	Fabaceae	[]
Acacia pulchella	Fabaceae	[]
Acacia pusilla	Fabaceae	[]
Acacia pustula	Fabaceae	[]
Acacia pycnantha	Fabaceae	[]
Acacia pycnostachya	Fabaceae	[]
Acacia pyrifolia	Fabaceae	[]
Acacia quadrilateralis	Fabaceae	[]
Acacia quadrimarginea	Fabaceae	[]
Acacia quornensis	Fabaceae	[]
Acacia racospermoides	Fabaceae	[]
Acacia ramulosa	Fabaceae	[]
Acacia repanda	Fabaceae	[]
Acacia resinimarginea	Fabaceae	[]
Acacia retinodes	Fabaceae	[]
Acacia retivenea	Fabaceae	[]
Acacia rhetinocarpa	Fabaceae	[]
Acacia rhigiophylla	Fabaceae	[]
Acacia rhodophloia	Fabaceae	[]
Acacia rhodoxylon	Fabaceae	[]
Acacia riceana	Fabaceae	[]
Acacia richii	Fabaceae	[]
Acacia rigens	Fabaceae	[]
Acacia rossei	Fabaceae	[]
Acacia rostellifera	Fabaceae	[]
Acacia rothii	Fabaceae	[]
Acacia rubida	Fabaceae	[]
Acacia rupicola	Fabaceae	[]
Acacia ruppii	Fabaceae	[]
Acacia saliciformis	Fabaceae	[]
Acacia salicina	Fabaceae	[]
Acacia saligna	Fabaceae	['Acacia cyanophylla']
Acacia schinoides	Fabaceae	[]
Acacia scirpifolia	Fabaceae	[]
Acacia sclerophylla	Fabaceae	[]
Acacia sclerosperma	Fabaceae	[]
Acacia semirigida	Fabaceae	[]
Acacia sertiformis	Fabaceae	[]
Acacia shirleyi	Fabaceae	[]
Acacia sibilans	Fabaceae	[]
Acacia sibirica	Fabaceae	['Acacia clivicola']
Acacia siculiformis	Fabaceae	[]
Acacia silvestris	Fabaceae	[]
Acacia simmonsiana	Fabaceae	[]
Acacia simsii	Fabaceae	[]
Acacia species	not assigned	['Acacia capitata', 'Acacia cunninghamii', 'Acacia discolor', 'Acacia glaucescens', 'Acacia mollissima', 'Acacia nana', 'Acacia nova-anglica', 'Acacia phyllodes', 'Acacia spathulata', 'Acacia stowardii', 'Acacia vermicularis', 'Acacia vypres']
Acacia spectabilis	Fabaceae	[]
Acacia spilleriana	Fabaceae	[]
Acacia spinescens	Fabaceae	[]
Acacia splendens	Fabaceae	[]
Acacia spondylophylla	Fabaceae	[]
Acacia spooneri	Fabaceae	[]
Acacia sporadica	Fabaceae	[]
Acacia squamata	Fabaceae	[]
Acacia startii	Fabaceae	[]
Acacia steedmanii	Fabaceae	[]
Acacia stellaticeps	Fabaceae	[]
Acacia stenophylla	Fabaceae	[]
Acacia stereophylla	Fabaceae	[]
Acacia stipuligera	Fabaceae	[]
Acacia stricta	Fabaceae	[]
Acacia strongylophylla	Fabaceae	[]
Acacia suaveolens	Fabaceae	[]
Acacia subcaerulea	Fabaceae	[]
Acacia subporosa	Fabaceae	[]
Acacia subracemosa	Fabaceae	[]
Acacia subtessarogona	Fabaceae	[]
Acacia subtilinervis	Fabaceae	[]
Acacia subulata	Fabaceae	[]
Acacia sulcata	Fabaceae	[]
Acacia telmica	Fabaceae	[]
Acacia tenuissima	Fabaceae	[]
Acacia terminalis	Fabaceae	[]
Acacia tetragonophylla	Fabaceae	[]
Acacia tetraneura	Fabaceae	[]
Acacia toondulya	Fabaceae	[]
Acacia torringtonensis	Fabaceae	[]
Acacia torulosa	Fabaceae	[]
Acacia trachycarpa	Fabaceae	[]
Acacia trachyphloia	Fabaceae	[]
Acacia trapezoidea	Fabaceae	['Acacia littorea']
Acacia tratmaniana	Fabaceae	[]
Acacia trinervata	Fabaceae	[]
Acacia trineura	Fabaceae	[]
Acacia triptera	Fabaceae	[]
Acacia triquetra	Fabaceae	[]
Acacia tropica	Fabaceae	[]
Acacia truncata	Fabaceae	[]
Acacia tumida	Fabaceae	[]
Acacia ulicifolia	Fabaceae	['Acacia juniperina']
Acacia ulicina	Fabaceae	[]
Acacia umbellata	Fabaceae	[]
Acacia uncinata	Fabaceae	[]
Acacia undosa	Fabaceae	[]
Acacia undulifolia	Fabaceae	[]
Acacia urophylla	Fabaceae	[]
Acacia venulosa	Fabaceae	[]
Acacia verniciflua	Fabaceae	[]
Acacia veronica	Fabaceae	[]
Acacia verticillata	Fabaceae	[]
Acacia vestita	Fabaceae	[]
Acacia victoriae	Fabaceae	[]
Acacia viscidula	Fabaceae	[]
Acacia vittata	Fabaceae	[]
Acacia wattsiana	Fabaceae	[]
Acacia whibleyana	Fabaceae	[]
Acacia wilhelmiana	Fabaceae	[]
Acacia williamsiana	Fabaceae	[]
Acacia xiphophylla	Fabaceae	[]
Acacia yorkrakinensis	Fabaceae	[]
Acaciella angustissima	Fabaceae	['Acacia angustissima']
Acaciella glauca	Fabaceae	['Leucaena glauca']
Acaena agnipila	Rosaceae	[]
Acaena alpina	Rosaceae	[]
Acaena anserinifolia	Rosaceae	[]
Acaena antarctica	Rosaceae	[]
Acaena argentea	Rosaceae	[]
Acaena caesiiglauca	Rosaceae	[]
Acaena confertissima	Rosaceae	[]
Acaena echinata	Rosaceae	[]
Acaena fissistipula	Rosaceae	[]
Acaena integerrima	Rosaceae	[]
Acaena leptacantha	Rosaceae	[]
Acaena lucida	Rosaceae	[]
Acaena macrocephala	Rosaceae	[]
Acaena magellanica	Rosaceae	[]
Acaena novae-zelandiae	Rosaceae	[]
Acaena ovalifolia	Rosaceae	[]
Acaena ovina	Rosaceae	[]
Acaena pallida	Rosaceae	[]
Acaena pinnatifida	Rosaceae	[]
Acaena platyacantha	Rosaceae	['Acaena rahuensis']
Acaena poeppigiana	Rosaceae	['Acaena pseudopoeppigiana', 'Acaena skottsbergii']
Acaena sericea	Rosaceae	[]
Acaena species	not assigned	['Acaena adenocarpa', 'Acaena multifida']
Acaena splendens	Rosaceae	[]
Acaena subnitens	Rosaceae	[]
Acaena tehuelcha	Rosaceae	[]
Acaena tenera	Rosaceae	[]
Acaena trifida	Rosaceae	[]
Acalypha acrogyna	Euphorbiaceae	[]
Acalypha allenii	Euphorbiaceae	[]
Acalypha ambigua	Euphorbiaceae	[]
Acalypha argentii	Euphorbiaceae	['Acalypha argentira']
Acalypha arvensis	Euphorbiaceae	[]
Acalypha australis	Euphorbiaceae	[]
Acalypha bipartita	Euphorbiaceae	[]
Acalypha brachystachya	Euphorbiaceae	[]
Acalypha caperonioides	Euphorbiaceae	[]
Acalypha caturus	Euphorbiaceae	[]
Acalypha chirindica	Euphorbiaceae	[]
Acalypha ciliata	Euphorbiaceae	[]
Acalypha cincta	Euphorbiaceae	[]
Acalypha claoxyloides	Euphorbiaceae	[]
Acalypha clutioides	Euphorbiaceae	[]
Acalypha communis	Euphorbiaceae	[]
Acalypha crenata	Euphorbiaceae	[]
Acalypha cuneata	Euphorbiaceae	[]
Acalypha decaryana	Euphorbiaceae	[]
Acalypha dikuluwensis	Euphorbiaceae	[]
Acalypha diversifolia	Euphorbiaceae	[]
Acalypha filipes	Euphorbiaceae	[]
Acalypha fimbriata	Euphorbiaceae	[]
Acalypha fruticosa	Euphorbiaceae	[]
Acalypha fuscescens	Euphorbiaceae	[]
Acalypha glabrata	Euphorbiaceae	[]
Acalypha grandis	Euphorbiaceae	[]
Acalypha havanensis	Euphorbiaceae	[]
Acalypha hispida	Euphorbiaceae	[]
Acalypha indica	Euphorbiaceae	[]
Acalypha lanceolata	Euphorbiaceae	[]
Acalypha langiana	Euphorbiaceae	[]
Acalypha lepinei	Euphorbiaceae	[]
