Species	PFT
Acacia baueri	not assigned (tree)
Acacia beadleana	not assigned (shrub)
Acacia beauverdiana	not assigned (tree)
Acacia beckleri	not assigned (tree)
Acacia betchei	not assigned (tree)
Acacia bifaria	not assigned (tree)
Acacia binervata	not assigned (shrub/tree)
Acacia binervia	not assigned (tree)
Acacia bivenosa	not assigned (tree)
Acacia blakei	not assigned (tree)
Acacia blakelyi	not assigned (tree)
Acacia blayana	not assigned (tree)
Acacia boormanii	not assigned (tree)
Acacia botrydion	not assigned (tree)
Acacia brachybotrya	not assigned (shrub)
Acacia brachystachya	not assigned (tree)
Acacia brassii	not assigned (tree)
Acacia browniana	not assigned (tree)
Acacia brownii	not assigned (shrub)
Acacia brumalis	not assigned (tree)
Acacia brunioides	not assigned (shrub)
Acacia bulgaensis	not assigned (shrub/tree)
Acacia burbidgeae	not assigned (tree)
Acacia burkittii	not assigned (shrub/tree)
Acacia burrowii	not assigned (shrub/tree)
Acacia buxifolia	not assigned (tree)
Acacia caerulescens	not assigned (tree)
Acacia caesariata	not assigned (shrub)
Acacia caesiella	not assigned (shrub/tree)
Acacia calamifolia	not assigned (tree)
Acacia calcicola	not assigned (tree)
Acacia calyculata	not assigned (shrub)
Acacia cambagei	not assigned (tree)
Acacia campylophylla	not assigned (shrub)
Acacia cana	not assigned (shrub)
Acacia cangaiensis	not assigned (shrub/tree)
Acacia cardiophylla	not assigned (tree)
Acacia carens	not assigned (shrub)
Acacia caroleae	not assigned (shrub/tree)
Acacia catenulata	not assigned (tree)
Acacia cedroides	not assigned (shrub)
Acacia celastrifolia	not assigned (shrub)
Acacia celsa	not assigned (tree)
Acacia cerastes	not assigned (shrub)
Acacia chalkeri	not assigned (tree)
Acacia chapmanii	not assigned (tree)
Acacia cheelii	not assigned (shrub/tree)
Acacia chisholmii	not assigned (tree)
Acacia chrysotricha	not assigned (tree)
Acacia cincinnata	not assigned (tree)
Acacia citrinoviridis	not assigned (tree)
Acacia clandullensis	not assigned (tree)
Acacia clydonophora	not assigned (tree)
Acacia cognata	not assigned (shrub/tree)
Acacia colei	not assigned (shrub/tree)
Acacia colletioides	not assigned (shrub)
Acacia complanata	not assigned (tree)
Acacia concurrens	not assigned (tree)
Acacia conferta	not assigned
Acacia confusa	not assigned (tree)
Acacia congesta	not assigned (tree)
Acacia constablei	not assigned (tree)
Acacia continua	not assigned (tree)
Acacia coolgardiensis	not assigned (tree)
Acacia coriacea	not assigned (shrub/tree)
Acacia cornigera	not assigned (tree)
Acacia costiniana	not assigned (shrub)
Acacia coulteri	not assigned (tree)
Acacia courtii	not assigned (tree)
Acacia cowleana	not assigned (tree)
Acacia craspedocarpa	not assigned (tree)
Acacia crassa	not assigned (shrub/tree)
Acacia crassicarpa	not assigned (tree)
Acacia crassiuscula	not assigned (tree)
Acacia cremiflora	not assigned (shrub)
Acacia crenulata	not assigned (shrub/tree)
Acacia cretacea	not assigned (shrub/tree)
Acacia cultriformis	not assigned (shrub/tree)
Acacia cuneifolia	not assigned (shrub)
Acacia cupularis	not assigned (shrub)
Acacia curranii	not assigned (tree)
