Species	PFT
Abacopteris multilineata	not assigned (fern)
Abarema adenophora	not assigned (tree)
Abarema barbouriana	not assigned (tree)
Abarema brachystachya	not assigned (shrub/tree)
Abarema cochliacarpos	not assigned (tree)
Abarema curvicarpa	not assigned (tree)
Abarema jupunba	not assigned (tree)
Abarema laeta	not assigned (tree)
Abarema lusoria	not assigned (legume?)
Abarema macradenia	not assigned (tree)
Abarema mataybifolia	not assigned (tree)
Abarema piresii	not assigned (tree)
Abarema racemiflora	not assigned (tree)
Abatia parviflora	not assigned (shrub/tree)
Abelia biflora	not assigned (shrub)
Abelia chinensis	not assigned (shrub)
Abelia dielsii	not assigned (shrub)
Abelia graebneriana	not assigned (shrub)
Abelia grandiflora	not assigned (shrub)
Abelia integrifolia	not assigned (shrub)
Abelia mosanensis	not assigned (shrub)
Abelia serrata	not assigned (shrub)
Abelia spathulata	not assigned (shrub)
Abelia triflora	not assigned (shrub/tree)
Abeliophyllum distichum	not assigned (shrub)
Abelmoschus crinitus	forb
Abelmoschus esculentus	forb
Abelmoschus ficulneus	not assigned (shrub)
Abelmoschus manihot	forb
Abelmoschus moschatus	forb
Abies alba	not assigned (tree)
Abies amabilis	not assigned (tree)
Abies arizonica	not assigned (tree)
Abies balsamea	not assigned (tree)
Abies borisii-regis	not assigned (tree)
Abies bornmuelleriana	not assigned (tree)
Abies bracteata	not assigned (tree)
Abies cephalonica	not assigned (tree)
Abies chensiensis	not assigned (tree)
Abies cilicica	not assigned (tree)
Abies concolor	not assigned (tree)
Abies delavayi	not assigned (tree)
Abies densa	not assigned (tree)
Abies ernestii	not assigned (tree)
Abies fabri	not assigned (tree)
Abies fargesii	not assigned (tree)
Abies faxoniana	not assigned (tree)
Abies firma	not assigned (tree)
Abies forrestii	not assigned (tree)
Abies fraseri	not assigned (tree)
Abies georgei	not assigned (tree)
Abies grandis	not assigned (tree)
Abies guatemalensis	not assigned (tree)
Abies holophylla	not assigned (tree)
Abies homolepis	not assigned (tree)
Abies kawakamii	not assigned (tree)
Abies koreana	not assigned (tree)
Abies lasiocarpa	not assigned (tree)
Abies magnifica	not assigned (tree)
Abies mariesii	not assigned (tree)
Abies marocana	not assigned (tree)
Abies nebrodensis	not assigned (tree)
Abies nephrolepis	not assigned (tree)
Abies nordmanniana	not assigned (tree)
Abies numidica	not assigned (tree)
Abies pardei	not assigned (tree)
Abies pindrow	not assigned (tree)
Abies pinsapo	not assigned (tree)
Abies procera	not assigned (tree)
Abies recurvata	not assigned (tree)
Abies religiosa	not assigned (tree)
Abies sachalinensis	not assigned (tree)
Abies shastensis	not assigned (tree)
Abies sibirica	not assigned (tree)
Abies spectabilis	not assigned (tree)
Abies squamata	not assigned (tree)
Abies veitchii	not assigned (tree)
Abies vejarii	not assigned (tree)
Abiu caramuri	not assigned (tree)
Abroma augusta	not assigned (shrub)
Abronia ameliae	forb
Abronia fragrans	forb
Abronia latifolia	forb
Abronia maritima	forb
Abronia pogonantha	forb
Abronia turbinata	forb
Abronia umbellata	forb
Abronia villosa	forb
Abrophyllum ornans	not assigned (shrub/tree)
Abrus canescens	not assigned (shrub)
Abrus laevigatus	not assigned (legume?)
Abrus precatorius	not assigned (shrub)
Abrus pulchellus	not assigned (shrub)
Abrus schimperi	not assigned (shrub)
Abuta grandifolia	not assigned (tree)
Abuta grisebachii	not assigned ()
Abuta imene	not assigned ()
Abuta pahni	not assigned ()
Abuta panamensis	not assigned (tree)
Abuta racemosa	not assigned ()
Abuta rufescens	forb
Abuta solimoesensis	not assigned ()
Abuta velutina	not assigned (shrub/tree)
Abutilon abutiloides	not assigned (herb/shrub)
Abutilon angulatum	not assigned (herb/shrub)
Abutilon auritum	not assigned (shrub)
Abutilon austroafricanum	not assigned (herb/shrub)
Abutilon austro-africanum	not assigned (herb/shrub)
Abutilon bidentatum	not assigned (shrub)
Abutilon canariense	not assigned ()
Abutilon chittendenii	not assigned (shrub)
Abutilon cryptopetalum	not assigned (herb/shrub)
Abutilon dugesii	not assigned (shrub)
Abutilon ellipticum	not assigned (tree)
Abutilon englerianum	not assigned (shrub)
Abutilon eremitopetalum	not assigned (shrub)
Abutilon fraseri	not assigned (shrub)
Abutilon fruticosum	not assigned (herb/shrub)
Abutilon glabriflorum	not assigned (shrub)
Abutilon grandiflorum	not assigned (herb/shrub)
Abutilon grantii	not assigned (herb/shrub)
Abutilon greveanum	not assigned (shrub)
Abutilon guineense	not assigned (shrub)
Abutilon hirtum	not assigned (herb/shrub)
Abutilon incanum	not assigned (herb/shrub)
Abutilon indicum	not assigned (shrub)
Abutilon lauraster	not assigned (herb/shrub)
Abutilon lepidum	not assigned (shrub)
Abutilon leucopetalum	not assigned (shrub)
Abutilon longicuspe	not assigned (shrub)
Abutilon matopense	not assigned (herb/shrub)
Abutilon mauritianum	not assigned (herb/shrub)
Abutilon menziesii	not assigned (shrub)
Abutilon mitchelli	not assigned (shrub)
Abutilon molle	not assigned (herb/shrub)
Abutilon mollissimum	not assigned (shrub)
Abutilon muticum	not assigned (shrub)
Abutilon otocarpum	not assigned (shrub)
Abutilon oxycarpum	not assigned (shrub)
Abutilon pannosum	not assigned (herb/shrub)
Abutilon parvulum	forb
Abutilon pseudocleistogamum	not assigned (shrub)
Abutilon pycnodon	not assigned (herb/shrub)
Abutilon ramosum	not assigned (herb/shrub)
Abutilon reflexum	not assigned (shrub)
Abutilon rehmannii	not assigned (shrub)
Abutilon sandwicense	not assigned (shrub)
Abutilon silvaticum	not assigned (shrub)
Abutilon sonneratianum	not assigned (shrub)
Abutilon sylvaticum	not assigned (shrub)
Abutilon theophrasti	forb
Abutilon theophrastii	forb
Abutilon trisulcatum	not assigned (shrub)
Abutilon umbellatum	not assigned (herb/shrub)
Acacia abyssinica	not assigned (tree)
Acacia acanthoclada	not assigned (shrub)
Acacia acanthophylla	not assigned (legume?)
Acacia acatlensis	not assigned (shrub/tree)
Acacia accola	not assigned (shrub/tree)
Acacia acinacea	not assigned (shrub)
Acacia acradenia	not assigned (shrub/tree)
Acacia acrionastes	not assigned (tree)
Acacia acuifera	not assigned (tree)
Acacia aculeatissima	not assigned (shrub)
Acacia acuminata	not assigned (shrub/tree)
Acacia adansonii	not assigned (tree)
Acacia adenocalyx	not assigned (shrub/tree)
Acacia adhaerens	not assigned (legume?)
Acacia adoxa	not assigned (shrub)
Acacia adsurgens	not assigned (shrub)
Acacia adunca	not assigned (shrub/tree)
Acacia aestivalis	not assigned (shrub/tree)
Acacia alata	not assigned (shrub)
Acacia albicorticata	not assigned (tree)
Acacia albida	not assigned (tree)
Acacia alcockii	not assigned (shrub)
Acacia alemquerensis	not assigned (legume?)
Acacia alleniana	not assigned (tree)
Acacia allenii	not assigned (tree)
Acacia altiscandens	not assigned (tree)
Acacia amabilis	not assigned (tree)
Acacia amblygona	not assigned (shrub)
Acacia ammobia	not assigned (tree)
Acacia amoena	not assigned (tree)
Acacia ampliceps	not assigned (tree)
Acacia amythethophylla	not assigned (tree)
Acacia anceps	not assigned (shrub)
Acacia ancistrocarpa	not assigned (tree)
Acacia anegadensis	not assigned (tree)
Acacia aneura	not assigned (shrub/tree)
Acacia anfractuosa	not assigned (tree)
Acacia angustissima	not assigned (tree)
Acacia anthochaera	not assigned (shrub/tree)
Acacia aphylla	not assigned (shrub)
Acacia aprica	not assigned (shrub)
Acacia arabica	not assigned (tree)
Acacia arenaria	not assigned (shrub)
Acacia arenosa	not assigned (shrub/tree)
Acacia argyrophylla	not assigned (tree)
Acacia armata	not assigned (tree)
Acacia aroma	not assigned (tree)
Acacia ascendens	not assigned (tree)
Acacia asepala	not assigned (shrub)
Acacia aspera	not assigned (tree)
Acacia assimilis	not assigned (tree)
Acacia ataxacantha	not assigned (legume?)
Acacia atkinsiana	not assigned (tree)
Acacia aulacocarpa	not assigned (tree)
Acacia aureocrinita	not assigned (shrub)
Acacia auriculaeformis	not assigned (tree)
Acacia auriculata	not assigned (tree)
Acacia auriculiformis	not assigned (tree)
Acacia ausfeldii	not assigned (tree)
Acacia australis	not assigned (shrub)
Acacia baeuerlenii	not assigned (shrub)
Acacia baileyana	not assigned (tree)
Acacia bakeri	not assigned (tree)
Acacia bancroftii	not assigned (shrub/tree)
Acacia barringtonensis	not assigned (shrub)
Acacia barteriana	not assigned (shrub/tree)
Acacia baueri	not assigned (tree)
Acacia beadleana	not assigned (shrub)
Acacia beauverdiana	not assigned (tree)
Acacia beckleri	not assigned (tree)
Acacia bellula	not assigned (shrub)
Acacia berlandieri	not assigned (shrub)
Acacia betchei	not assigned (tree)
Acacia bidwillii	not assigned (tree)
Acacia bifaria	not assigned (tree)
Acacia bilimekii	not assigned (shrub)
Acacia binervata	not assigned (shrub/tree)
Acacia binervia	not assigned (tree)
Acacia bivenosa	not assigned (tree)
Acacia blakei	not assigned (tree)
Acacia blakelyi	not assigned (tree)
Acacia blayana	not assigned (tree)
Acacia bonariensis	not assigned (shrub/tree)
Acacia boormanii	not assigned (tree)
Acacia borleae	not assigned (shrub/tree)
Acacia bossiaeoides	not assigned (shrub/tree)
Acacia botrydion	not assigned (tree)
Acacia brachybotrya	not assigned (shrub)
Acacia brachystachya	not assigned (tree)
Acacia brassii	not assigned (tree)
Acacia brevispica	not assigned (shrub)
Acacia browniana	not assigned (tree)
Acacia brownii	not assigned (shrub)
Acacia brumalis	not assigned (tree)
Acacia brunioides	not assigned (shrub)
Acacia bulgaensis	not assigned (shrub/tree)
Acacia burbidgeae	not assigned (tree)
Acacia burkei	not assigned (tree)
Acacia burkittii	not assigned (shrub/tree)
Acacia burrowii	not assigned (shrub/tree)
Acacia bussei	not assigned (tree)
Acacia buxifolia	not assigned (tree)
Acacia caerulescens	not assigned (tree)
Acacia caesariata	not assigned (shrub)
Acacia caesia	not assigned (tree)
Acacia caesiella	not assigned (shrub/tree)
Acacia caffra	not assigned (tree)
Acacia calamifolia	not assigned (tree)
Acacia calcicola	not assigned (tree)
Acacia cambagei	not assigned (tree)
Acacia campylophylla	not assigned (shrub)
Acacia cana	not assigned (shrub)
Acacia cangaiensis	not assigned (shrub/tree)
Acacia capitata	not assigned (legume?)
Acacia cardiophylla	not assigned (tree)
Acacia carens	not assigned (shrub)
Acacia caroleae	not assigned (shrub/tree)
Acacia catechu	not assigned (tree)
Acacia catenulata	not assigned (tree)
Acacia caven	not assigned (shrub)
Acacia cavenia	not assigned (shrub/tree)
Acacia cedroides	not assigned (shrub)
Acacia celastrifolia	not assigned (shrub)
Acacia celsa	not assigned (tree)
Acacia cerastes	not assigned (shrub)
Acacia chalkeri	not assigned (tree)
Acacia chapmanii	not assigned (tree)
Acacia chariessa	not assigned (shrub)
Acacia cheelii	not assigned (shrub/tree)
Acacia chisholmii	not assigned (tree)
Acacia choriophylla	not assigned (shrub/tree)
Acacia chrysotricha	not assigned (tree)
Acacia chundra	not assigned (tree)
Acacia cincinnata	not assigned (tree)
Acacia citrinoviridis	not assigned (tree)
Acacia clandullensis	not assigned (tree)
Acacia clivicola	not assigned (shrub/tree)
Acacia clydonophora	not assigned (tree)
Acacia cochliacantha	not assigned (tree)
Acacia cognata	not assigned (shrub/tree)
Acacia colei	not assigned (shrub/tree)
Acacia colletioides	not assigned (shrub)
Acacia collinsii	not assigned (tree)
Acacia compacta	not assigned (tree)
Acacia complanata	not assigned (tree)
Acacia concurrens	not assigned (tree)
Acacia conferta	not assigned (tree)
Acacia confusa	not assigned (tree)
Acacia congesta	not assigned (tree)
Acacia constablei	not assigned (tree)
Acacia constricta	not assigned (shrub)
Acacia continua	not assigned (tree)
Acacia coolgardiensis	not assigned (tree)
Acacia coriacea	not assigned (shrub/tree)
Acacia cornigera	not assigned (tree)
Acacia costiniana	not assigned (shrub)
Acacia coulteri	not assigned (tree)
Acacia courtii	not assigned (tree)
Acacia cowleana	not assigned (tree)
Acacia craspedocarpa	not assigned (tree)
Acacia crassa	not assigned (shrub/tree)
Acacia crassicarpa	not assigned (tree)
Acacia crassiuscula	not assigned (tree)
Acacia cremiflora	not assigned (shrub)
Acacia crenulata	not assigned (shrub/tree)
Acacia cretacea	not assigned (shrub/tree)
Acacia cultriformis	not assigned (shrub/tree)
Acacia cuneifolia	not assigned (shrub)
Acacia cunninghamii	not assigned (tree)
Acacia cupularis	not assigned (shrub)
Acacia curranii	not assigned (tree)
Acacia cuthbertsonii	not assigned (shrub/tree)
Acacia cyanophylla	not assigned (tree)
Acacia cyclops	not assigned (shrub/tree)
Acacia cyperophylla	not assigned (tree)
Acacia dallachiana	not assigned (tree)
Acacia davyi	not assigned (shrub/tree)
Acacia dawsonii	not assigned (tree)
Acacia dealbata	not assigned (shrub/tree)
Acacia deanei	not assigned (tree)
Acacia decora	not assigned (shrub)
Acacia decurrens	not assigned (tree)
Acacia deficiens	not assigned (tree)
Acacia depauperata	not assigned (shrub/tree)
Acacia desmondii	not assigned (tree)
Acacia detinens	not assigned (shrub/tree)
Acacia dictyoneura	not assigned (tree)
Acacia dictyophleba	not assigned (tree)
Acacia difficilis	not assigned (tree)
Acacia difformis	not assigned (tree)
Acacia diffusa	not assigned (shrub)
Acacia dimidiata	not assigned (shrub/tree)
Acacia discolor	not assigned (tree)
Acacia disparrima	not assigned (tree)
Acacia disticha	not assigned (tree)
Acacia dodonaeifolia	not assigned (tree)
Acacia dolichostachya	not assigned (tree)
Acacia doratoxylon	not assigned (shrub/tree)
Acacia drepanolobium	not assigned (tree)
Acacia drepanophylla	not assigned (tree)
Acacia drummondii	not assigned (tree)
Acacia dudgeoni	not assigned (tree)
Acacia dunnii	not assigned (tree)
Acacia durabilis	not assigned (shrub)
Acacia duriuscula	not assigned (shrub/tree)
Acacia ebutsiniorum	not assigned (tree)
Acacia echinula	not assigned (tree)
Acacia edgeworthii	not assigned (tree)
Acacia effusa	not assigned (shrub)
Acacia ehrenbergiana	not assigned (tree)
Acacia elachantha	not assigned (shrub)
Acacia elata	not assigned (tree)
Acacia elatior	not assigned (tree)
Acacia elongata	not assigned (tree)
Acacia empelioclada	not assigned (shrub)
Acacia enterocarpa	not assigned (shrub)
Acacia eremophila	not assigned (shrub)
Acacia erinacea	not assigned (shrub)
Acacia eriocarpa	not assigned (shrub/tree)
Acacia erioloba	not assigned (tree)
Acacia eriopoda	not assigned (tree)
Acacia errabunda	not assigned (tree)
Acacia erubescens	not assigned (tree)
Acacia erythrocalyx	not assigned (legume?)
Acacia estrophiolata	not assigned (tree)
Acacia etbaica	not assigned (tree)
Acacia euthycarpa	not assigned (tree)
Acacia excelsa	not assigned (tree)
Acacia extensa	not assigned (tree)
Acacia exuvialis	not assigned (shrub/tree)
Acacia falcata	not assigned (shrub)
Acacia falciformis	not assigned (tree)
Acacia farinosa	not assigned (shrub)
Acacia farnesiana	not assigned (shrub/tree)
Acacia fasciculata	not assigned (tree)
Acacia fasciculifera	not assigned (tree)
Acacia ferruginea	not assigned (tree)
Acacia filicifolia	not assigned (tree)
Acacia filifolia	not assigned (tree)
Acacia fimbriata	not assigned (shrub/tree)
Acacia flabellifolia	not assigned (shrub)
Acacia flavescens	not assigned (tree)
Acacia fleckii	not assigned (shrub/tree)
Acacia flexifolia	not assigned (tree)
Acacia flocktoniae	not assigned (tree)
Acacia floribunda	not assigned (shrub/tree)
Acacia floydii	not assigned (shrub/tree)
Acacia fragilis	not assigned (shrub)
Acacia frigescens	not assigned (shrub/tree)
Acacia fulva	not assigned (tree)
Acacia furcatispina	not assigned (shrub)
Acacia gageana	not assigned (tree)
Acacia galeata	not assigned (shrub/tree)
Acacia galpinii	not assigned (tree)
Acacia gaumeri	not assigned (tree)
Acacia genistifolia	not assigned (shrub/tree)
Acacia gentlei	not assigned (tree)
Acacia georgensis	not assigned (shrub/tree)
Acacia georginae	not assigned (tree)
Acacia gerrardii	not assigned (tree)
Acacia gillii	not assigned (shrub/tree)
Acacia giraffae	not assigned (tree)
Acacia gladiiformis	not assigned (tree)
Acacia glandulicarpa	not assigned (tree)
Acacia glauca	not assigned (tree)
Acacia glaucescens	not assigned (tree)
Acacia glaucissima	not assigned (shrub)
Acacia glaucocarpa	not assigned (tree)
Acacia glomerosa	not assigned (tree)
Acacia gnidium	not assigned (tree)
Acacia goetzei	not assigned (tree)
Acacia gonocarpa	not assigned (shrub/tree)
Acacia gonoclada	not assigned (shrub)
Acacia gordonii	not assigned (tree)
Acacia gourmaensis	not assigned (tree)
Acacia gracilifolia	not assigned (shrub)
Acacia graffiana	not assigned (tree)
Acacia grandicornuta	not assigned (tree)
Acacia granitica	not assigned (tree)
Acacia grasbyi	not assigned (tree)
Acacia greggii	not assigned (shrub/tree)
Acacia grisea	not assigned (shrub)
Acacia gummifera	not assigned (tree)
Acacia gunnii	not assigned (tree)
Acacia haematoxylon	not assigned (shrub/tree)
Acacia hakeoides	not assigned (shrub)
Acacia hamersleyensis	not assigned (shrub/tree)
Acacia hamiltoniana	not assigned (shrub)
Acacia hammondii	not assigned (shrub)
Acacia hamulosa	not assigned (tree)
Acacia harpophylla	not assigned (tree)
Acacia harveyi	not assigned (shrub)
Acacia havilandii	not assigned (shrub/tree)
Acacia havilandiorum	not assigned (shrub/tree)
Acacia hayesii	not assigned (shrub)
Acacia hebeclada	not assigned (shrub/tree)
Acacia hemignosta	not assigned (tree)
Acacia hemiteles	not assigned (tree)
Acacia hemsleyi	not assigned (tree)
Acacia hereroensis	not assigned (shrub/tree)
Acacia heterochroa	not assigned (shrub)
Acacia heteroclita	not assigned (tree)
Acacia heterophylla	not assigned (legume?)
Acacia hilliana	not assigned (shrub)
Acacia hindsii	not assigned (tree)
Acacia hispidula	not assigned (tree)
Acacia hockii	not assigned (shrub/tree)
Acacia hohenackeri	not assigned (legume?)
Acacia holosericea	not assigned (shrub/tree)
Acacia homalophylla	not assigned (tree)
Acacia horrida	not assigned (tree)
Acacia howittii	not assigned (tree)
Acacia hubbardiana	not assigned (shrub)
Acacia huegelii	not assigned (shrub/tree)
Acacia humifusa	not assigned (tree)
Acacia hyaloneura	not assigned (shrub/tree)
Acacia imbricata	not assigned (shrub)
Acacia implexa	not assigned (shrub/tree)
Acacia inaequilatera	not assigned (tree)
Acacia incanicarpa	not assigned (shrub)
Acacia inceana	not assigned (shrub)
Acacia ingramii	not assigned (shrub/tree)
Acacia inophloia	not assigned (tree)
Acacia insolita	not assigned (tree)
Acacia iraqensis	not assigned (shrub/tree)
Acacia irrorata	not assigned (shrub/tree)
Acacia iteaphylla	not assigned (tree)
Acacia ixiophylla	not assigned (tree)
Acacia jennerae	not assigned (tree)
Acacia johnwoodii	not assigned (tree)
Acacia jonesii	not assigned (shrub)
Acacia jucunda	not assigned (shrub)
Acacia julifera	not assigned (shrub/tree)
Acacia juncifolia	not assigned (tree)
Acacia juniperina	not assigned (tree)
Acacia kamerunensis	not assigned (legume?)
Acacia karroo	not assigned (shrub/tree)
Acacia kempeana	not assigned (shrub/tree)
Acacia kettlewelliae	not assigned (tree)
Acacia kirkii	not assigned (tree)
Acacia koa	not assigned (tree)
Acacia koaia	not assigned (tree)
Acacia kosiensis	not assigned (tree)
Acacia kraussiana	not assigned (tree)
Acacia kybeanensis	not assigned (shrub)
Acacia kydrensis	not assigned (shrub)
Acacia laccata	not assigned (tree)
Acacia lachnophylla	not assigned (shrub)
Acacia laeta	not assigned (tree)
Acacia lamprocarpa	not assigned (tree)
Acacia lanigera	not assigned (tree)
Acacia lasiocalyx	not assigned (tree)
Acacia lasiocarpa	not assigned (shrub)
Acacia lasiopetala	not assigned (tree)
Acacia lateriticola	not assigned (tree)
Acacia latescens	not assigned (tree)
Acacia latipes	not assigned (shrub)
Acacia latisepala	not assigned (tree)
Acacia latistipulata	not assigned (shrub)
Acacia latzii	not assigned (tree)
Acacia lebbeck	not assigned (tree)
Acacia legnota	not assigned (tree)
Acacia leiocalyx	not assigned (tree)
Acacia leiophylla	not assigned (tree)
Acacia leprosa	not assigned (tree)
Acacia leptocarpa	not assigned (tree)
Acacia leptoclada	not assigned (tree)
Acacia leptopetala	not assigned (shrub)
Acacia leptospermoides	not assigned (shrub)
Acacia leptostachya	not assigned (shrub/tree)
Acacia leucoclada	not assigned (tree)
Acacia leucolobia	not assigned (shrub)
Acacia leucophloea	not assigned (tree)
Acacia leucophylla	not assigned (tree)
Acacia ligulata	not assigned (shrub/tree)
Acacia ligustrina	not assigned (shrub/tree)
Acacia linearifolia	not assigned (shrub/tree)
Acacia linearis	not assigned (shrub)
Acacia lineata	not assigned (shrub)
Acacia lineolata	not assigned (tree)
Acacia linifolia	not assigned (shrub)
Acacia lirellata	not assigned (tree)
Acacia litakunensis	not assigned (legume?)
Acacia littorea	not assigned (shrub)
Acacia loderi	not assigned (tree)
Acacia longifolia	not assigned (shrub)
Acacia longispicata	not assigned (tree)
Acacia longispinea	not assigned (tree)
Acacia longissima	not assigned (shrub)
Acacia loretensis	not assigned (tree)
Acacia lucasii	not assigned (shrub)
Acacia luederitzii	not assigned (shrub/tree)
Acacia lunata	not assigned (tree)
Acacia lutea	not assigned (tree)
Acacia lysiphloia	not assigned (tree)
Acacia mabellae	not assigned (tree)
Acacia macbridei	not assigned (shrub)
Acacia macilenta	not assigned (tree)
Acacia macnuttiana	not assigned (tree)
Acacia maconochieana	not assigned (tree)
Acacia macracantha	not assigned (tree)
Acacia macradenia	not assigned (tree)
Acacia macrophylla	not assigned (tree)
Acacia macrostachya	not assigned (tree)
Acacia macrothyrsa	not assigned (tree)
Acacia maidenii	not assigned (tree)
Acacia maitlandii	not assigned (tree)
Acacia mangium	not assigned (tree)
Acacia matthewii	not assigned (shrub/tree)
Acacia mayana	not assigned (tree)
Acacia mearnsii	not assigned (tree)
Acacia megacephala	not assigned (tree)
Acacia meiantha	not assigned (tree)
Acacia meisneri	not assigned (tree)
Acacia melanoceras	not assigned (shrub/tree)
Acacia melanoxylon	not assigned (tree)
Acacia melleodora	not assigned (shrub)
Acacia mellifera	not assigned (shrub/tree)
Acacia melvillei	not assigned (tree)
Acacia menzelii	not assigned (shrub)
Acacia meridionalis	not assigned (shrub/tree)
Acacia merrallii	not assigned (tree)
Acacia merrickiae	not assigned (shrub)
Acacia microbotrya	not assigned (tree)
Acacia microcarpa	not assigned (tree)
Acacia millefolia	not assigned (shrub/tree)
Acacia mimula	not assigned (tree)
Acacia minutifolia	not assigned (shrub)
Acacia mitchellii	not assigned (tree)
Acacia modesta	not assigned (tree)
Acacia mollifolia	not assigned (tree)
Acacia mollis	not assigned (tree)
Acacia mollissima	not assigned (tree)
Acacia montana	not assigned (tree)
Acacia monticola	not assigned (tree)
Acacia montigena	not assigned (shrub)
Acacia montis-usti	not assigned (tree)
Acacia mountfordiae	not assigned (shrub)
Acacia mucronata	not assigned (tree)
Acacia muelleriana	not assigned (shrub/tree)
Acacia multipinnata	not assigned (legume?)
Acacia multisiliqua	not assigned (shrub/tree)
Acacia multispicata	not assigned (tree)
Acacia murrayana	not assigned (tree)
Acacia mutabilis	not assigned (shrub)
Acacia myrmecophila	not assigned (shrub/tree)
Acacia myrtifolia	not assigned (shrub)
Acacia nana	not assigned (shrub)
Acacia nanodealbata	not assigned (shrub/tree)
Acacia nebrownii	not assigned (shrub/tree)
Acacia nematophylla	not assigned (shrub)
Acacia neovernicosa	not assigned (tree)
Acacia neriifolia	not assigned (shrub/tree)
Acacia nervosa	not assigned (tree)
Acacia neurocarpa	not assigned (shrub/tree)
Acacia neurophylla	not assigned (tree)
Acacia nigrescens	not assigned (tree)
Acacia nigripilosa	not assigned (shrub)
Acacia nilotica	not assigned (tree)
Acacia nodiflora	not assigned (tree)
Acacia notabilis	not assigned (tree)
Acacia nova-anglica	not assigned (shrub)
Acacia nubica	not assigned (shrub/tree)
Acacia obliquinervia	not assigned (tree)
Acacia obtusata	not assigned (tree)
Acacia obtusifolia	not assigned (tree)
Acacia occidentalis	not assigned (tree)
Acacia oerfota	not assigned (tree)
Acacia olgana	not assigned (tree)
Acacia olsenii	not assigned (shrub/tree)
Acacia omalophylla	not assigned (tree)
Acacia oncinocarpa	not assigned (shrub/tree)
Acacia ophiolithica	not assigned (tree)
Acacia oraria	not assigned (tree)
Acacia origena	not assigned (tree)
Acacia orites	not assigned (tree)
Acacia oshanesii	not assigned (tree)
Acacia oswaldii	not assigned (shrub/tree)
Acacia oxycedrus	not assigned (shrub)
Acacia pachycarpa	not assigned (tree)
Acacia pallidifolia	not assigned (tree)
Acacia paniculata	not assigned (shrub/tree)
Acacia paolii	not assigned (shrub)
Acacia papulosa	not assigned (shrub)
Acacia papyrocarpa	not assigned (tree)
Acacia paradoxa	not assigned (shrub)
Acacia parramattensis	not assigned (tree)
Acacia parvipinnula	not assigned (tree)
Acacia pedina	not assigned (shrub/tree)
Acacia pellita	not assigned (tree)
Acacia pendula	not assigned (tree)
Acacia pennata	not assigned (shrub/tree)
Acacia pennatula	not assigned (tree)
Acacia penninervis	not assigned (tree)
Acacia pentadenia	not assigned (tree)
Acacia pentagona	not assigned (legume?)
Acacia perangusta	not assigned (shrub/tree)
Acacia permixta	not assigned (shrub/tree)
Acacia pervillei	not assigned (tree)
Acacia peuce	not assigned (tree)
Acacia phaeocalyx	not assigned (tree)
Acacia phasmoides	not assigned (tree)
Acacia phlebocarpa	not assigned (shrub)
Acacia phyllodes	not assigned (shrub/tree)
Acacia piligera	not assigned (shrub)
Acacia pilispina	not assigned (shrub/tree)
Acacia pilligaensis	not assigned (tree)
Acacia pinguiculosa	not assigned (shrub)
Acacia pinguifolia	not assigned (shrub)
Acacia pinnata	not assigned (shrub)
Acacia planifrons	not assigned (tree)
Acacia platycarpa	not assigned (tree)
Acacia plectocarpa	not assigned (tree)
Acacia plicata	not assigned (tree)
Acacia plumosa	not assigned (legume?)
Acacia podalyriaefolia	not assigned (tree)
Acacia podalyriifolia	not assigned (shrub/tree)
Acacia polyacantha	not assigned (tree)
Acacia polybotrya	not assigned (tree)
Acacia polyphylla	not assigned (tree)
Acacia polystachya	not assigned (tree)
Acacia praecox	not assigned (tree)
Acacia prainii	not assigned (shrub/tree)
Acacia pravifolia	not assigned (shrub)
Acacia pravissima	not assigned (tree)
Acacia pringlei	not assigned (tree)
Acacia prominens	not assigned (tree)
Acacia provincialis	not assigned (shrub/tree)
Acacia pruinocarpa	not assigned (tree)
Acacia pruinosa	not assigned (tree)
Acacia ptychoclada	not assigned (shrub)
Acacia pubescens	not assigned (tree)
Acacia pubifolia	not assigned (tree)
Acacia pulchella	not assigned (shrub)
Acacia purpusii	not assigned (shrub/tree)
Acacia pusilla	not assigned (shrub)
Acacia pustula	not assigned (tree)
Acacia pycnantha	not assigned (tree)
Acacia pycnostachya	not assigned (tree)
Acacia pyrifolia	not assigned (tree)
Acacia quadrilateralis	not assigned (tree)
Acacia quadrimarginea	not assigned (tree)
Acacia quornensis	not assigned (tree)
Acacia racospermoides	not assigned (shrub/tree)
Acacia raddiana	not assigned (tree)
Acacia ramulosa	not assigned (shrub/tree)
Acacia redacta	not assigned (shrub/tree)
Acacia reficiens	not assigned (tree)
Acacia rehmanniana	not assigned (tree)
Acacia repanda	not assigned (tree)
Acacia resinimarginea	not assigned (tree)
Acacia retinodes	not assigned (tree)
Acacia retivenea	not assigned (shrub)
Acacia rhetinocarpa	not assigned (shrub)
Acacia rhigiophylla	not assigned (shrub)
Acacia rhodophloia	not assigned (shrub/tree)
Acacia rhodoxylon	not assigned (tree)
Acacia riceana	not assigned (tree)
Acacia richii	not assigned (tree)
Acacia rigens	not assigned (shrub)
Acacia rigidula	not assigned (shrub/tree)
Acacia riparia	not assigned (shrub/tree)
Acacia robusta	not assigned (tree)
Acacia robynsiana	not assigned (tree)
Acacia roemeriana	not assigned (shrub/tree)
Acacia rossei	not assigned (tree)
Acacia rostellifera	not assigned (tree)
Acacia rothii	not assigned (tree)
Acacia rovumae	not assigned (tree)
