AccSpeciesName	Grassmind PFT	Genus	SpeciesEpithet	Family	PlantGrowthForm									
Ruellia morongii	forb	Ruellia	morongii	Acanthaceae	herb									
Ruellia strepens	forb	Ruellia	strepens	Acanthaceae	herb									
Ruellia patula	forb	Ruellia	patula	Acanthaceae	herb									
Ruelliopsis damarensis	forb	Ruelliopsis	damarensis	Acanthaceae	herb									
Stenandrium dulce	forb	Stenandrium	dulce	Acanthaceae	herb									
Stenandrium tenuifolia	forb	Stenandrium	tenuifolia	Acanthaceae	herb									
Tetramerium nervosum	forb	Tetramerium	nervosum	Acanthaceae	herb									
Thunbergia alata	forb	Thunbergia	alata	Acanthaceae	herb									
Adoxa moschatellina	forb	Adoxa	moschatellina	Adoxaceae	herb									
Agdestis clematidea	forb	Agdestis	clematidea	Agdestidaceae	herb									
Acrodon subulatus	forb	Acrodon	subulatus	Aizoaceae	herb									
Amphibolia obscura	forb	Amphibolia	obscura	Aizoaceae	herb									
Antimima bina	forb	Antimima	bina	Aizoaceae	herb									
Aptenia cordifolia	forb	Aptenia	cordifolia	Aizoaceae	herb									
Cleretum herrei	forb	Cleretum	herrei	Aizoaceae	herb									
Cleretum papulosum	forb	Cleretum	papulosum	Aizoaceae	herb									
Conicosia elongata	forb	Conicosia	elongata	Aizoaceae	herb									
Conicosia pugioniformis	forb	Conicosia	pugioniformis	Aizoaceae	herb									
Conophytum aequale	forb	Conophytum	aequale	Aizoaceae	herb									
Cylindrophyllum hallii	forb	Cylindrophyllum	hallii	Aizoaceae	herb									
Cypselea humifusa	forb	Cypselea	humifusa	Aizoaceae	herb									
Delosperma abyssinicum	forb	Delosperma	abyssinicum	Aizoaceae	herb									
Delosperma tradescantioides	forb	Delosperma	tradescantioides	Aizoaceae	herb									
Delosperma litorale	forb	Delosperma	litorale	Aizoaceae	herb									
Delosperma pergamentaceum	forb	Delosperma	pergamentaceum	Aizoaceae	herb									
Delosperma mahonii	forb	Delosperma	mahonii	Aizoaceae	herb									
Disphyma australe	forb	Disphyma	australe	Aizoaceae	herb									
Disphyma papillatum	forb	Disphyma	papillatum	Aizoaceae	herb									
Dorotheanthus tricolor	forb	Dorotheanthus	tricolor	Aizoaceae	herb									
Dorotheanthus bellidiformis	forb	Dorotheanthus	bellidiformis	Aizoaceae	herb									
Dracophilus delaetianum	forb	Dracophilus	delaetianum	Aizoaceae	herb									
Dracophilus proximus	forb	Dracophilus	proximus	Aizoaceae	herb									
Dracophilus dealbatus	forb	Dracophilus	dealbatus	Aizoaceae	herb									
Drosanthemum calycinum	forb	Drosanthemum	calycinum	Aizoaceae	herb									
Drosanthemum globosum	forb	Drosanthemum	globosum	Aizoaceae	herb									
Drosanthemum hispidum	forb	Drosanthemum	hispidum	Aizoaceae	herb									
Drosanthemum lique	forb	Drosanthemum	lique	Aizoaceae	herb									
Drosanthemum montaguense	forb	Drosanthemum	montaguense	Aizoaceae	herb									
Drosanthemum paxianum	forb	Drosanthemum	paxianum	Aizoaceae	herb									
Drosanthemum schoenlandianum	forb	Drosanthemum	schoenlandianum	Aizoaceae	herb									
Drosanthemum inornatum	forb	Drosanthemum	inornatum	Aizoaceae	herb									
Drosanthemum parvifolium	forb	Drosanthemum	parvifolium	Aizoaceae	herb									
Drosanthemum speciosum	forb	Drosanthemum	speciosum	Aizoaceae	herb									
Drosanthemum stokoei	forb	Drosanthemum	stokoei	Aizoaceae	herb									
Drosanthemum floribundum	forb	Drosanthemum	floribundum	Aizoaceae	herb									
Drosanthemum uniflorum	forb	Drosanthemum	uniflorum	Aizoaceae	herb									
Erepsia aspera	forb	Erepsia	aspera	Aizoaceae	herb									
Galenia fruticosa	forb	Galenia	fruticosa	Aizoaceae	herb									
Galenia pubescens	forb	Galenia	pubescens	Aizoaceae	herb									
Gunniopsis glabra	forb	Gunniopsis	glabra	Aizoaceae	herb									
Mesembryanthemum pyropeum	forb	Mesembryanthemum	pyropeum	Aizoaceae	herb									
Mesembryanthemum crystallinum	forb	Mesembryanthemum	crystallinum	Aizoaceae	herb									
Mesembryanthemum nodiflorum	forb	Mesembryanthemum	nodiflorum	Aizoaceae	herb									
Mesembryanthemum guerichianum	forb	Mesembryanthemum	guerichianum	Aizoaceae	herb									
Mesembryanthemum karrooense	forb	Mesembryanthemum	karrooense	Aizoaceae	herb									
Mesembryanthemum theurkauffii	forb	Mesembryanthemum	theurkauffii	Aizoaceae	herb									
Mesembryanthemum aitonis	forb	Mesembryanthemum	aitonis	Aizoaceae	herb									
Mesembryanthemum cryptanthum	forb	Mesembryanthemum	cryptanthum	Aizoaceae	herb									
Mesembryanthemum barklyi	forb	Mesembryanthemum	barklyi	Aizoaceae	herb									
Mesembryanthemum pellitum	forb	Mesembryanthemum	pellitum	Aizoaceae	herb									
Mesembryanthemum forskahlei	forb	Mesembryanthemum	forskahlei	Aizoaceae	herb									
Mesembryanthemum hypertrophicum	forb	Mesembryanthemum	hypertrophicum	Aizoaceae	herb									
Opophytum aquosum	forb	Opophytum	aquosum	Aizoaceae	herb									
Prenia sladeniana	forb	Prenia	sladeniana	Aizoaceae	herb									
Sesuvium hydaspicum	forb	Sesuvium	hydaspicum	Aizoaceae	herb									
Sesuvium nyasicum	forb	Sesuvium	nyasicum	Aizoaceae	herb									
Sesuvium portulacastrum	forb	Sesuvium	portulacastrum	Aizoaceae	herb									
Synaptophyllum juttae	forb	Synaptophyllum	juttae	Aizoaceae	herb									
Trianthema parvifolia	forb	Trianthema	parvifolia	Aizoaceae	herb									
Trianthema salsoloides	forb	Trianthema	salsoloides	Aizoaceae	herb									
Trianthema oxycalyptra	forb	Trianthema	oxycalyptra	Aizoaceae	herb									
Trianthema triquetra	forb	Trianthema	triquetra	Aizoaceae	herb									
Trianthema portulacastrum	forb	Trianthema	portulacastrum	Aizoaceae	herb									
Zaleya pentandra	forb	Zaleya	pentandra	Aizoaceae	herb									
Zaleya galericulata	forb	Zaleya	galericulata	Aizoaceae	herb									
Acanthochiton wrightii	forb	Acanthochiton	wrightii	Amaranthaceae	herb									
Achyranthes longifolia	forb	Achyranthes	longifolia	Amaranthaceae	herb									
Achyranthes japonica	forb	Achyranthes	japonica	Amaranthaceae	herb									
Achyranthes patula	forb	Achyranthes	patula	Amaranthaceae	herb									
Achyropsis gracilis	forb	Achyropsis	gracilis	Amaranthaceae	herb									
Achyropsis laniceps	forb	Achyropsis	laniceps	Amaranthaceae	herb									
Aerva lanata	forb	Aerva	lanata	Amaranthaceae	herb									
Aerva leucura	forb	Aerva	leucura	Amaranthaceae	herb									
Alternanthera brasiliana	forb	Alternanthera	brasiliana	Amaranthaceae	herb									
Alternanthera nodiflora	forb	Alternanthera	nodiflora	Amaranthaceae	herb									
Alternanthera costaricensis	forb	Alternanthera	costaricensis	Amaranthaceae	herb									
Alternanthera angustifolia	forb	Alternanthera	angustifolia	Amaranthaceae	herb									
Alternanthera tenella	forb	Alternanthera	tenella	Amaranthaceae	herb									
Alternanthera denticulata	forb	Alternanthera	denticulata	Amaranthaceae	herb									
Alternanthera nana	forb	Alternanthera	nana	Amaranthaceae	herb									
Alternanthera caracasana	forb	Alternanthera	caracasana	Amaranthaceae	herb									
Alternanthera repens	forb	Alternanthera	repens	Amaranthaceae	herb									
Alternanthera albida	forb	Alternanthera	albida	Amaranthaceae	herb									
Alternanthera pumila	forb	Alternanthera	pumila	Amaranthaceae	herb									
Alternanthera pungens	forb	Alternanthera	pungens	Amaranthaceae	herb									
Alternanthera crucis	forb	Alternanthera	crucis	Amaranthaceae	herb									
Alternanthera philoxeroides	forb	Alternanthera	philoxeroides	Amaranthaceae	herb									
Alternanthera sessilis	forb	Alternanthera	sessilis	Amaranthaceae	herb									
Amaranthus dinteri	forb	Amaranthus	dinteri	Amaranthaceae	herb									
Amaranthus mitchellii	forb	Amaranthus	mitchellii	Amaranthaceae	herb									
Amaranthus praetermissus	forb	Amaranthus	praetermissus	Amaranthaceae	herb									
Amaranthus roxburghianus	forb	Amaranthus	roxburghianus	Amaranthaceae	herb									
Amaranthus thunbergii	forb	Amaranthus	thunbergii	Amaranthaceae	herb									
Amaranthus crispus	forb	Amaranthus	crispus	Amaranthaceae	herb									
Amaranthus dubius	forb	Amaranthus	dubius	Amaranthaceae	herb									
Amaranthus standleyanus	forb	Amaranthus	standleyanus	Amaranthaceae	herb									
Amaranthus cruentus	forb	Amaranthus	cruentus	Amaranthaceae	herb									
Amaranthus hypochondriacus	forb	Amaranthus	hypochondriacus	Amaranthaceae	herb									
Enydra radicans	not assigned ()	Enydra	radicans	Asteraceae										
Epaltes alata	not assigned ()	Epaltes	alata	Asteraceae										
Epaltes australis	not assigned ()	Epaltes	australis	Asteraceae										
Epaltes gariepina	not assigned ()	Epaltes	gariepina	Asteraceae										
Epitriche demissus	not assigned ()	Epitriche	demissus	Asteraceae										
Erechtites valerianifolia	not assigned ()	Erechtites	valerianifolia	Asteraceae										
Erechtites hieraciifolia	not assigned ()	Erechtites	hieraciifolia	Asteraceae										
Eremothamnus marlothianus	not assigned ()	Eremothamnus	marlothianus	Asteraceae										
Ericameria parryi	not assigned ()	Ericameria	parryi	Asteraceae										
Ericameria teretifolia	not assigned ()	Ericameria	teretifolia	Asteraceae										
Ericameria discoidea	not assigned ()	Ericameria	discoidea	Asteraceae										
Ericameria fasciculata	not assigned ()	Ericameria	fasciculata	Asteraceae										
Ericameria laricifolia	not assigned ()	Ericameria	laricifolia	Asteraceae										
Ericameria suffruticosa	not assigned ()	Ericameria	suffruticosa	Asteraceae										
Erigeron bellidioides	not assigned ()	Erigeron	bellidioides	Asteraceae										
Erigeron bloomeri	not assigned ()	Erigeron	bloomeri	Asteraceae										
Erigeron bonariensis	not assigned ()	Erigeron	bonariensis	Asteraceae										
Erigeron canadense	not assigned ()	Erigeron	canadense	Asteraceae										
Erigeron clokeyi	not assigned ()	Erigeron	clokeyi	Asteraceae										
Erigeron disparipilus	not assigned ()	Erigeron	disparipilus	Asteraceae										
Erigeron engelmanni	not assigned ()	Erigeron	engelmanni	Asteraceae										
Erigeron luxurians	not assigned ()	Erigeron	luxurians	Asteraceae										
Erigeron myosotis	not assigned ()	Erigeron	myosotis	Asteraceae										
Erigeron pumilus	not assigned ()	Erigeron	pumilus	Asteraceae										
Erigeron arenarioides	not assigned ()	Erigeron	arenarioides	Asteraceae										
Erigeron callianthemus	not assigned ()	Erigeron	callianthemus	Asteraceae										
Erigeron concinnus	not assigned ()	Erigeron	concinnus	Asteraceae										
Erigeron corymbosus	not assigned ()	Erigeron	corymbosus	Asteraceae										
Erigeron eximius	not assigned ()	Erigeron	eximius	Asteraceae										
Erigeron morrisonensis	not assigned ()	Erigeron	morrisonensis	Asteraceae										
Erigeron nanus	not assigned ()	Erigeron	nanus	Asteraceae										
Erigeron subtrinervis	not assigned ()	Erigeron	subtrinervis	Asteraceae										
Erigeron tweedyi	not assigned ()	Erigeron	tweedyi	Asteraceae										
Erigeron engelmannii	not assigned ()	Erigeron	engelmannii	Asteraceae										
Erigeron caespitosus	not assigned ()	Erigeron	caespitosus	Asteraceae										
Erigeron glabellus	not assigned ()	Erigeron	glabellus	Asteraceae										
Erigeron polymorphus	not assigned ()	Erigeron	polymorphus	Asteraceae										
Eriocephalus ericoides	not assigned ()	Eriocephalus	ericoides	Asteraceae										
Eriocephalus pinnatus	not assigned ()	Eriocephalus	pinnatus	Asteraceae										
Eriocephalus racemosus	not assigned ()	Eriocephalus	racemosus	Asteraceae										
Eriocephalus kingesii	not assigned ()	Eriocephalus	kingesii	Asteraceae										
Eriocephalus luederitzianus	not assigned ()	Eriocephalus	luederitzianus	Asteraceae										
Eriocephalus merxmuelleri	not assigned ()	Eriocephalus	merxmuelleri	Asteraceae										
Eriocephalus scariosus	not assigned ()	Eriocephalus	scariosus	Asteraceae										
Erlangea ramifolia	not assigned ()	Erlangea	ramifolia	Asteraceae										
